model_name,dsc/test,dsc/test_RV,dsc/test_MYO,dsc/test_LV,gen/anatomically_valid
baseline-centre-1-seed-1970,0.6600120067596436,0.6664202213287354,0.5417763590812683,0.7718396186828613,0.3285863697528839
baseline-centre-1-seed-1971,0.6837186813354492,0.6099732518196106,0.6143416166305542,0.8268413543701172,0.42759209871292114
baseline-centre-1-seed-1972,0.519510805606842,0.44904574751853943,0.47790515422821045,0.6315814852714539,0.4785875380039215
baseline-centre-1-seed-1973,0.5089746713638306,0.5180436372756958,0.43074068427085876,0.5781397223472595,0.384162575006485
baseline-centre-1-seed-1974,0.3073820471763611,0.2708227336406708,0.3192617893218994,0.3320615589618683,0.4787878692150116
baseline-centre-2-seed-1970,0.7658984661102295,0.7554283142089844,0.7288294434547424,0.8134379386901855,0.28440985083580017
baseline-centre-2-seed-1971,0.7347874641418457,0.7207847237586975,0.7085656523704529,0.7750118374824524,0.23030303418636322
baseline-centre-2-seed-1972,0.7136391401290894,0.6820051074028015,0.6935863494873047,0.7653260827064514,0.1803428828716278
baseline-centre-2-seed-1973,0.7118884325027466,0.6699826717376709,0.7039138674736023,0.761768639087677,0.21435406804084778
baseline-centre-2-seed-1974,0.7540349960327148,0.7500222325325012,0.7076833844184875,0.8043999671936035,0.24238435924053192
baseline-centre-3-seed-1970,0.7935011982917786,0.7601072788238525,0.7640347480773926,0.8563608527183533,0.30698272585868835
baseline-centre-3-seed-1971,0.7789010405540466,0.7447141408920288,0.7532561421394348,0.8387333154678345,0.3610689640045166
baseline-centre-3-seed-1972,0.6996394991874695,0.6282871961593628,0.6270392537117004,0.8435920476913452,0.3367408812046051
baseline-centre-3-seed-1973,0.77830570936203,0.7715008854866028,0.7448133826255798,0.8186028003692627,0.28229594230651855
baseline-centre-3-seed-1974,0.7895193696022034,0.7821329236030579,0.7254165410995483,0.8610084056854248,0.40506336092948914
baseline-centre-4-seed-1970,0.6485776901245117,0.583520770072937,0.6518999934196472,0.7103126645088196,0.3780762851238251
baseline-centre-4-seed-1971,0.6881415843963623,0.609997570514679,0.6989513635635376,0.7554761171340942,0.3745647668838501
baseline-centre-4-seed-1972,0.6761573553085327,0.5906826257705688,0.6767140030860901,0.761076033115387,0.3816813826560974
baseline-centre-4-seed-1973,0.6449292898178101,0.5359037518501282,0.6552764773368835,0.7436075210571289,0.42260274291038513
baseline-centre-4-seed-1974,0.659369170665741,0.5779560804367065,0.6429269313812256,0.7572242021560669,0.2983989417552948
baseline-centre-5-seed-1970,0.7978082895278931,0.7675857543945312,0.7710316181182861,0.8548071980476379,0.4967467784881592
baseline-centre-5-seed-1971,0.765864372253418,0.7467550039291382,0.7318686246871948,0.8189695477485657,0.4125499725341797
baseline-centre-5-seed-1972,0.7279648780822754,0.7346731424331665,0.6615585088729858,0.7876631021499634,0.45372453331947327
baseline-centre-5-seed-1973,0.7515755295753479,0.7440968751907349,0.7084260582923889,0.8022032976150513,0.4055846631526947
baseline-centre-5-seed-1974,0.7390176653862,0.6599081754684448,0.718535840511322,0.8386090397834778,0.4309913218021393
shape-prior-centre-1-seed-1970,0.5268701314926147,0.5462982654571533,0.4153948426246643,0.6189171075820923,0.32370099425315857
shape-prior-centre-1-seed-1971,0.5561736822128296,0.5130683183670044,0.4995788335800171,0.6558740139007568,0.480281263589859
shape-prior-centre-1-seed-1972,0.5442475080490112,0.42371320724487305,0.511741042137146,0.6972883939743042,0.4447382092475891
shape-prior-centre-1-seed-1973,0.6137317419052124,0.5962232947349548,0.5256174206733704,0.7193543910980225,0.3489692807197571
shape-prior-centre-1-seed-1974,0.3852948844432831,0.3709386885166168,0.31465256214141846,0.4702933728694916,0.4368553161621094
shape-prior-centre-2-seed-1970,0.6816809177398682,0.5447883009910583,0.7031073570251465,0.7971472144126892,0.30346888303756714
shape-prior-centre-2-seed-1971,0.7495948672294617,0.7247124314308167,0.7187982797622681,0.8052737712860107,0.17097286880016327
shape-prior-centre-2-seed-1972,0.7350398302078247,0.7055068016052246,0.7009080648422241,0.7987045645713806,0.23157893121242523
shape-prior-centre-2-seed-1973,0.7419009208679199,0.6916084885597229,0.7313133478164673,0.8027810454368591,0.14920254051685333
shape-prior-centre-2-seed-1974,0.731163501739502,0.6789087653160095,0.7213718295097351,0.7932099103927612,0.226873978972435
shape-prior-centre-3-seed-1970,0.7595228552818298,0.7414447069168091,0.6933592557907104,0.8437643647193909,0.35775721073150635
shape-prior-centre-3-seed-1971,0.7475486993789673,0.6982914805412292,0.7076792120933533,0.8366755247116089,0.34527504444122314
shape-prior-centre-3-seed-1972,0.7316914200782776,0.71934574842453,0.6754348874092102,0.8002938032150269,0.26677757501602173
shape-prior-centre-3-seed-1973,0.7822352647781372,0.7428877353668213,0.7378724217414856,0.8659454584121704,0.4539908766746521
shape-prior-centre-3-seed-1974,0.7787691950798035,0.752569317817688,0.7243525981903076,0.8593851923942566,0.3972180187702179
shape-prior-centre-4-seed-1970,0.6844830513000488,0.5489749312400818,0.7000366449356079,0.804437518119812,0.3978472650051117
shape-prior-centre-4-seed-1971,0.637840211391449,0.5224623084068298,0.6440657377243042,0.7469924688339233,0.3986370861530304
shape-prior-centre-4-seed-1972,0.6722555756568909,0.5489335060119629,0.6722450256347656,0.7955880165100098,0.36945295333862305
shape-prior-centre-4-seed-1973,0.6806090474128723,0.5989485383033752,0.6705803275108337,0.7722979784011841,0.36732152104377747
shape-prior-centre-4-seed-1974,0.6578139662742615,0.5537499189376831,0.6577380895614624,0.7619534134864807,0.30451565980911255
shape-prior-centre-5-seed-1970,0.7728988528251648,0.7393087148666382,0.7359298467636108,0.8434582948684692,0.360058069229126
shape-prior-centre-5-seed-1971,0.7955546975135803,0.7917718291282654,0.751785397529602,0.8431069254875183,0.3483922481536865
shape-prior-centre-5-seed-1972,0.7400444746017456,0.7268842458724976,0.673958420753479,0.8192905187606812,0.39410799741744995
shape-prior-centre-5-seed-1973,0.7814620137214661,0.782701313495636,0.727153480052948,0.8345311284065247,0.4004599452018738
shape-prior-centre-5-seed-1974,0.7227446436882019,0.660936713218689,0.7072938680648804,0.8000025749206543,0.4137685298919678
