model_name,dsc/test,dsc/test_RV,dsc/test_MYO,dsc/test_LV,gen/anatomically_valid
centre-1-5-subjects-seed-1970,0.5166130661964417,0.5277012586593628,0.4242067039012909,0.597931444644928,0.48801353573799133
centre-1-5-subjects-seed-1971,0.5881141424179077,0.529822826385498,0.5351879000663757,0.6993319392204285,0.4901139438152313
centre-1-5-subjects-seed-1972,0.5676433444023132,0.45988836884498596,0.5214004516601562,0.721640944480896,0.5436552166938782
centre-1-5-subjects-seed-1973,0.6424263715744019,0.630598783493042,0.5248110890388489,0.7718692421913147,0.42798542976379395
centre-1-5-subjects-seed-1974,0.49349117279052734,0.38539814949035645,0.4676858186721802,0.6273896098136902,0.4925711154937744
centre-2-5-subjects-seed-1970,0.7835381031036377,0.7528442740440369,0.7552965879440308,0.8424735069274902,0.35502395033836365
centre-2-5-subjects-seed-1971,0.7362077832221985,0.6960158348083496,0.7027958631515503,0.8098117709159851,0.2298644483089447
centre-2-5-subjects-seed-1972,0.7461539506912231,0.7077645659446716,0.7227839231491089,0.8079130053520203,0.2581339478492737
centre-2-5-subjects-seed-1973,0.7043182849884033,0.6844293475151062,0.6753999590873718,0.7531255483627319,0.2908293306827545
centre-2-5-subjects-seed-1974,0.7465712428092957,0.6948109865188599,0.7463328242301941,0.7985698580741882,0.31000787019729614
centre-3-5-subjects-seed-1970,0.7311753630638123,0.6943604946136475,0.6753044128417969,0.8238614201545715,0.535394012928009
centre-3-5-subjects-seed-1971,0.7768881916999817,0.7271910905838013,0.7451141476631165,0.8583592772483826,0.4122117757797241
centre-3-5-subjects-seed-1972,0.7664365172386169,0.7137013077735901,0.7448562383651733,0.8407521843910217,0.4495386481285095
centre-3-5-subjects-seed-1973,0.7326082587242126,0.6917014122009277,0.708729088306427,0.7973942756652832,0.4594825506210327
centre-3-5-subjects-seed-1974,0.7695794105529785,0.7179977297782898,0.7328815460205078,0.8578589558601379,0.47233977913856506
centre-4-5-subjects-seed-1970,0.7180140018463135,0.598456859588623,0.7299331426620483,0.8256518244743347,0.4709782004356384
centre-4-5-subjects-seed-1971,0.6812936067581177,0.5820729732513428,0.6822668313980103,0.7795413732528687,0.41325679421424866
centre-4-5-subjects-seed-1972,0.6928203105926514,0.5701083540916443,0.6973240375518799,0.8110283017158508,0.33544400334358215
centre-4-5-subjects-seed-1973,0.693954586982727,0.5875558257102966,0.7027252912521362,0.7915822267532349,0.3405776023864746
centre-4-5-subjects-seed-1974,0.6929035782814026,0.5855504870414734,0.6986473798751831,0.7945125102996826,0.3827393054962158
centre-5-5-subjects-seed-1970,0.810411810874939,0.7930960059165955,0.7783844470977783,0.859754741191864,0.4671212136745453
centre-5-5-subjects-seed-1971,0.8094761967658997,0.8009660840034485,0.7669709324836731,0.8604912757873535,0.5136400461196899
centre-5-5-subjects-seed-1972,0.7565208673477173,0.7072371244430542,0.7366740107536316,0.8256511688232422,0.3900759816169739
centre-5-5-subjects-seed-1973,0.7991283535957336,0.7821017503738403,0.7650169134140015,0.8502663373947144,0.37704360485076904
centre-5-5-subjects-seed-1974,0.7765918970108032,0.7259317636489868,0.7588456869125366,0.8449980616569519,0.4419631063938141
