model_name,dsc/test,dsc/test_RV,dsc/test_MYO,dsc/test_LV,gen/anatomically_valid
baseline-centre-1-seed-1970,0.8401844501495361,0.8250167965888977,0.779771089553833,0.9157657027244568,0.6938483119010925
baseline-centre-1-seed-1971,0.8440840244293213,0.8368647694587708,0.7879757285118103,0.9074115753173828,0.7906906008720398
baseline-centre-1-seed-1972,0.8459143042564392,0.8234877586364746,0.7995436191558838,0.9147114157676697,0.7477478981018066
baseline-centre-1-seed-1973,0.8400633335113525,0.8293182253837585,0.7944387793540955,0.8964333534240723,0.7027219533920288
baseline-centre-1-seed-1974,0.8402508497238159,0.812453031539917,0.7985790371894836,0.9097208976745605,0.7166605591773987
baseline-centre-2-seed-1970,0.846696138381958,0.8563779592514038,0.8177739977836609,0.8659365773200989,0.6260765194892883
baseline-centre-2-seed-1971,0.837012767791748,0.8361256718635559,0.810012698173523,0.8648996949195862,0.5864832401275635
baseline-centre-2-seed-1972,0.8330668210983276,0.8192901611328125,0.812883734703064,0.8670262694358826,0.6096092462539673
baseline-centre-2-seed-1973,0.8287096619606018,0.8168883323669434,0.8071184158325195,0.8621223568916321,0.3997209072113037
baseline-centre-2-seed-1974,0.8423880338668823,0.8477758169174194,0.8115684390068054,0.8678194284439087,0.5960128307342529
baseline-centre-3-seed-1970,0.8787413835525513,0.8833639025688171,0.8469240069389343,0.9059366583824158,0.4727989733219147
baseline-centre-3-seed-1971,0.8429977893829346,0.8162479400634766,0.8450340032577515,0.8677110075950623,0.4744553864002228
baseline-centre-3-seed-1972,0.8901984691619873,0.8848589062690735,0.8648764491081238,0.9208601713180542,0.49553897976875305
baseline-centre-3-seed-1973,0.8515133857727051,0.8611151576042175,0.8174197673797607,0.8760056495666504,0.3667072653770447
baseline-centre-3-seed-1974,0.8744940161705017,0.8737788200378418,0.8489525318145752,0.9007506370544434,0.4153555929660797
baseline-centre-4-seed-1970,0.7935643792152405,0.6996854543685913,0.7995732426643372,0.881434440612793,0.6346309185028076
baseline-centre-4-seed-1971,0.8214647173881531,0.7688051462173462,0.7991134524345398,0.8964764475822449,0.711347222328186
baseline-centre-4-seed-1972,0.8262348175048828,0.7828903794288635,0.7995235323905945,0.8962906002998352,0.7342525720596313
baseline-centre-4-seed-1973,0.7897251844406128,0.7115074992179871,0.7812312245368958,0.8764373064041138,0.664414644241333
baseline-centre-4-seed-1974,0.80802983045578,0.7352451682090759,0.8078697919845581,0.8809741735458374,0.6059006452560425
baseline-centre-5-seed-1970,0.8743388056755066,0.8613122701644897,0.8441025018692017,0.9176011085510254,0.7605530023574829
baseline-centre-5-seed-1971,0.8641551733016968,0.8570739030838013,0.8376301527023315,0.89776211977005,0.6360362768173218
baseline-centre-5-seed-1972,0.8393535614013672,0.8387117385864258,0.8082542419433594,0.871094822883606,0.7980490922927856
baseline-centre-5-seed-1973,0.8659259676933289,0.8626638650894165,0.8418344259262085,0.8932787179946899,0.7345460057258606
baseline-centre-5-seed-1974,0.8723767995834351,0.8700044751167297,0.8384701013565063,0.9086556434631348,0.6966561079025269
shape-prior-centre-1-seed-1970,0.8443142175674438,0.8266957998275757,0.7960485219955444,0.9101983308792114,0.7417686581611633
shape-prior-centre-1-seed-1971,0.848972737789154,0.829412043094635,0.7934482097625732,0.9240577816963196,0.7670891880989075
shape-prior-centre-1-seed-1972,0.848056435585022,0.8365352749824524,0.7952190637588501,0.9124152064323425,0.7911883592605591
shape-prior-centre-1-seed-1973,0.8510830998420715,0.8481983542442322,0.7932299375534058,0.9118209481239319,0.7753580808639526
shape-prior-centre-1-seed-1974,0.8381693959236145,0.8005675077438354,0.7992959022521973,0.9146448969841003,0.7114461660385132
shape-prior-centre-2-seed-1970,0.7915486097335815,0.8099625110626221,0.7462312579154968,0.8184520602226257,0.47886767983436584
shape-prior-centre-2-seed-1971,0.8405390381813049,0.8438875079154968,0.8121552467346191,0.865574061870575,0.4884369969367981
shape-prior-centre-2-seed-1972,0.8506485819816589,0.8485344052314758,0.8227155208587646,0.8806963562965393,0.7584129571914673
shape-prior-centre-2-seed-1973,0.8374034762382507,0.831866443157196,0.8090495467185974,0.8712947368621826,0.785925030708313
shape-prior-centre-2-seed-1974,0.8403491377830505,0.8386070132255554,0.8182037472724915,0.8642364144325256,0.6928229928016663
shape-prior-centre-3-seed-1970,0.8710221648216248,0.8665214776992798,0.839217483997345,0.9073276519775391,0.5105510950088501
shape-prior-centre-3-seed-1971,0.8533415198326111,0.8437739610671997,0.8280209898948669,0.88823002576828,0.6499925255775452
shape-prior-centre-3-seed-1972,0.8728516697883606,0.8598254919052124,0.84727942943573,0.9114502668380737,0.5566896200180054
shape-prior-centre-3-seed-1973,0.8692793846130371,0.8501373529434204,0.8424264192581177,0.9152750968933105,0.4763670563697815
shape-prior-centre-3-seed-1974,0.8594828844070435,0.8413881659507751,0.8325823545455933,0.9044783711433411,0.6631969809532166
shape-prior-centre-4-seed-1970,0.7844220399856567,0.674116313457489,0.7861239910125732,0.8930262327194214,0.602933406829834
shape-prior-centre-4-seed-1971,0.7496020197868347,0.7123686075210571,0.7455345392227173,0.7909032106399536,0.5414468050003052
shape-prior-centre-4-seed-1972,0.7648724317550659,0.6926583051681519,0.7490240335464478,0.8529353141784668,0.6873583793640137
shape-prior-centre-4-seed-1973,0.8025075197219849,0.7211812734603882,0.7884524464607239,0.8978886604309082,0.7292226552963257
shape-prior-centre-4-seed-1974,0.8161715269088745,0.7582102417945862,0.7974821329116821,0.8928224444389343,0.7139344811439514
shape-prior-centre-5-seed-1970,0.8734753727912903,0.8611265420913696,0.8480885624885559,0.9112105369567871,0.78789883852005
shape-prior-centre-5-seed-1971,0.8548063039779663,0.8452430963516235,0.8265109062194824,0.892664909362793,0.7159289717674255
shape-prior-centre-5-seed-1972,0.8639677166938782,0.8616237640380859,0.8349398374557495,0.8953394889831543,0.7811048626899719
shape-prior-centre-5-seed-1973,0.8620225787162781,0.8528141975402832,0.8294068574905396,0.9038467407226562,0.6953350901603699
shape-prior-centre-5-seed-1974,0.8659920692443848,0.8595222234725952,0.8353036046028137,0.9031506776809692,0.8552506566047668
