model_name,dsc/test_centre_1,dsc/test_RV_centre_1,dsc/test_MYO_centre_1,dsc/test_LV_centre_1,gen/anatomically_valid_centre_1,dsc/test_centre_2,dsc/test_RV_centre_2,dsc/test_MYO_centre_2,dsc/test_LV_centre_2,gen/anatomically_valid_centre_2,dsc/test_centre_3,dsc/test_RV_centre_3,dsc/test_MYO_centre_3,dsc/test_LV_centre_3,gen/anatomically_valid_centre_3,dsc/test_centre_4,dsc/test_RV_centre_4,dsc/test_MYO_centre_4,dsc/test_LV_centre_4,gen/anatomically_valid_centre_4,dsc/test_centre_5,dsc/test_RV_centre_5,dsc/test_MYO_centre_5,dsc/test_LV_centre_5,gen/anatomically_valid_centre_5
baseline-seed-1970,0.8302594423294067,0.8463461995124817,0.745648980140686,0.8987832069396973,0.752952516078949,0.860795259475708,0.8648509979248047,0.8343897461891174,0.883145272731781,0.7803826332092285,0.8804613947868347,0.8682389259338379,0.8631091117858887,0.9100360870361328,0.8493158221244812,0.8548567891120911,0.8304188847541809,0.8318279981613159,0.9023239016532898,0.7993395924568176,0.8437972068786621,0.8378122448921204,0.8233373761177063,0.8702419996261597,0.7042540311813354
baseline-seed-1971,0.8326866030693054,0.8369138240814209,0.7620444297790527,0.8991018533706665,0.8053856492042542,0.8577445149421692,0.8581164479255676,0.8353458046913147,0.8797710537910461,0.8156697750091553,0.8854075074195862,0.8734259605407715,0.8638463616371155,0.9189502000808716,0.8464615345001221,0.8567191958427429,0.8292742967605591,0.8371073007583618,0.9037758708000183,0.840257465839386,0.8556894063949585,0.842570960521698,0.8314931988716125,0.8930048942565918,0.7965909242630005
baseline-seed-1972,0.8227037787437439,0.8414488434791565,0.7351105213165283,0.8915519118309021,0.7109581232070923,0.8593782186508179,0.8626770973205566,0.8363462090492249,0.879111647605896,0.7543460130691528,0.8751630187034607,0.8591353893280029,0.8574146032333374,0.9089392423629761,0.7902337908744812,0.8508486747741699,0.8233219385147095,0.8319625854492188,0.8972614407539368,0.7834235429763794,0.838326632976532,0.823946475982666,0.8138454556465149,0.8771878480911255,0.6594995260238647
baseline-seed-1973,0.8334128856658936,0.8407845497131348,0.7631102800369263,0.896344006061554,0.788642406463623,0.8549628257751465,0.8686513304710388,0.8307626843452454,0.8654742240905762,0.7498403787612915,0.8875874280929565,0.8874827027320862,0.863078236579895,0.9122010469436646,0.8142505884170532,0.854246973991394,0.8345369100570679,0.8327600359916687,0.895444393157959,0.7723150849342346,0.8463951945304871,0.849073052406311,0.8159597516059875,0.8741530179977417,0.7126014828681946
baseline-seed-1974,0.8277890682220459,0.8524700999259949,0.7467764616012573,0.884120523929596,0.743564248085022,0.8580367565155029,0.8680062294006348,0.8323701620101929,0.8737339973449707,0.7173844575881958,0.8797807097434998,0.8703885078430176,0.8582984209060669,0.9106550812721252,0.7786155939102173,0.8563623428344727,0.8392380475997925,0.833430290222168,0.8964183926582336,0.7854340672492981,0.8522035479545593,0.851580023765564,0.8255192041397095,0.879511833190918,0.703019917011261
shape-prior-seed-1970,0.8264804482460022,0.8344375491142273,0.7542392611503601,0.8907644152641296,0.8434841632843018,0.8518385887145996,0.851404070854187,0.8304751515388489,0.8736365437507629,0.8431019186973572,0.8812329173088074,0.8774396777153015,0.8576697111129761,0.9085896015167236,0.8844699859619141,0.8524938821792603,0.8296822309494019,0.8338510394096375,0.8939482569694519,0.8719987869262695,0.8476530313491821,0.8359957933425903,0.8263529539108276,0.8806107640266418,0.7818831205368042
shape-prior-seed-1971,0.828730583190918,0.8308256268501282,0.7527081966400146,0.9026575684547424,0.7988088726997375,0.8579493165016174,0.8599340319633484,0.8329017758369446,0.8810118436813354,0.8067781329154968,0.8834621906280518,0.8745297789573669,0.8588225245475769,0.9170346856117249,0.8418294191360474,0.8596653938293457,0.8354321718215942,0.8350716829299927,0.9084920883178711,0.8508860468864441,0.8541431427001953,0.8280768394470215,0.8302596211433411,0.9040926694869995,0.7609415650367737
shape-prior-seed-1972,0.8253684639930725,0.8299177885055542,0.7403866648674011,0.9058005809783936,0.8426937460899353,0.8588682413101196,0.8597533702850342,0.8309887051582336,0.8858631253242493,0.816108226776123,0.8809046745300293,0.870594322681427,0.8554902672767639,0.9166296124458313,0.8782179951667786,0.8544799089431763,0.829983115196228,0.8304422497749329,0.9030141830444336,0.8414942026138306,0.8553438186645508,0.8403133153915405,0.8286800384521484,0.8970373868942261,0.7789363861083984
shape-prior-seed-1973,0.8275498747825623,0.8320600986480713,0.7517597675323486,0.8988295197486877,0.8576388359069824,0.8584303855895996,0.8690205812454224,0.8298805952072144,0.8763900399208069,0.8281099200248718,0.8811596632003784,0.8735119104385376,0.8561531901359558,0.9138131737709045,0.854648768901825,0.8503454327583313,0.8270557522773743,0.8279868364334106,0.8959935903549194,0.8451569676399231,0.8432604074478149,0.8440858721733093,0.8072789311408997,0.8784163594245911,0.7583488821983337
shape-prior-seed-1974,0.8280233144760132,0.8558838963508606,0.734978973865509,0.8932071328163147,0.8166897296905518,0.8616649508476257,0.8716182708740234,0.8292250037193298,0.8841514587402344,0.7618021368980408,0.8823208808898926,0.8753834962844849,0.8543883562088013,0.9171901941299438,0.8680753111839294,0.8579300045967102,0.8350687026977539,0.833083987236023,0.9056373834609985,0.8398860692977905,0.8484398722648621,0.8479097485542297,0.8173303604125977,0.8800793886184692,0.6970471143722534
