model_name,loss/dsc,loss/dsc_LV,loss/dsc_RV,loss/dsc_MYO,gen/anatomically_valid_recon
pc-4-ws-6420-b-0.02,0.911724328994751,0.9352172613143921,0.9091552495956421,0.8908006548881531,0.880408763885498
pc-4-ws-6420-b-0.01,0.910656750202179,0.9403215050697327,0.9031063914299011,0.888542652130127,0.9054243564605713
pc-4-ws-6420-b-0.2,0.9092873930931091,0.9381609559059143,0.9070233702659607,0.8826775550842285,0.932614266872406
pc-4-ws-6420-b-0.05,0.9089730978012085,0.9372472167015076,0.9026833176612854,0.8869885206222534,0.9171766042709351
pc-4-ws-6420-b-0.5,0.9031786918640137,0.9280360341072083,0.9043349623680115,0.8771651983261108,0.9413439035415649
pc-4-ws-6420-b-0.1,0.9019211530685425,0.9262204170227051,0.8940344452857971,0.8855089545249939,0.9431689381599426
pc-4-ws-6420-b-0.4,0.901460587978363,0.9295926094055176,0.8956887722015381,0.8791000843048096,0.9189932346343994
pc-4-ws-6420-b-0.9,0.9008960127830505,0.9315778613090515,0.8976653218269348,0.8734449744224548,0.9570690989494324
pc-4-ws-6420-b-0.7,0.8991310596466064,0.9321686029434204,0.8914347887039185,0.8737902045249939,0.917365312576294
pc-4-ws-6420-b-0.3,0.8975717425346375,0.9323931336402893,0.8818748593330383,0.8784467577934265,0.9153178930282593
pc-4-ws-6420-b-1,0.8912650942802429,0.926055908203125,0.8844192624092102,0.8633196949958801,0.9435765743255615
pc-4-ws-6420-b-0.8,0.8882337212562561,0.9109706878662109,0.8912596106529236,0.8624716997146606,0.9309596419334412
pc-4-ws-6420-b-0,0.8879961371421814,0.9288427829742432,0.8623214960098267,0.8728234171867371,0.6233842372894287
pc-4-ws-6420-b-0.6,0.8878350853919983,0.9145112633705139,0.8781273365020752,0.8708670735359192,0.9277825355529785
pc-4-ws-6420-b-2,0.8842160105705261,0.9150472283363342,0.882439374923706,0.8551624417304993,0.9350743293762207
pc-4-ws-6420-b-3,0.8808236718177795,0.9184431433677673,0.8727977871894836,0.8512299060821533,0.9469577670097351
pc-4-ws-6420-b-9,0.8734932541847229,0.9109765887260437,0.8658245801925659,0.8436776995658875,0.956311821937561
pc-4-ws-6420-b-4,0.868760347366333,0.8945779204368591,0.8745500445365906,0.8371528387069702,0.9467753767967224
pc-4-ws-6420-b-5,0.8681472539901733,0.9069778323173523,0.8649263978004456,0.832537829875946,0.9489982724189758
pc-4-ws-6420-b-7,0.8587246537208557,0.9018619656562805,0.8538019061088562,0.8205102682113647,0.9276929497718811
pc-4-ws-6420-b-6,0.8555466532707214,0.9065821170806885,0.8504385948181152,0.8096190690994263,0.9561384320259094
pc-4-ws-6420-b-8,0.8541761636734009,0.8962230682373047,0.8458884358406067,0.8204173445701599,0.97242271900177
pc-4-ws-6420-b-10,0.8107572197914124,0.86835116147995,0.8041373491287231,0.7597835063934326,0.9240115284919739
