model_name,loss/dsc,loss/dsc_LV,loss/dsc_RV,loss/dsc_MYO,gen/anatomically_valid_recon
pc-4-ws-6420-b-0,0.9081740379333496,0.9386569261550903,0.8978790044784546,0.8879866600036621,0.8559625744819641
pc-4-ws-6420-b-0.01,0.9076770544052124,0.9348694086074829,0.9010077118873596,0.887153685092926,0.9033938050270081
pc-4-ws-6420-b-0.2,0.9059527516365051,0.9281176924705505,0.9065535068511963,0.8831871747970581,0.9119423031806946
pc-4-ws-6420-b-0.3,0.9046111106872559,0.9371634125709534,0.9015976190567017,0.8750717043876648,0.9217936992645264
pc-4-ws-6420-b-1,0.9031295776367188,0.9275977611541748,0.9014317393302917,0.8803589344024658,0.9233632683753967
pc-4-ws-6420-b-0.4,0.9027612209320068,0.9311677813529968,0.8977468013763428,0.8793692588806152,0.9317574501037598
pc-4-ws-6420-b-0.05,0.9018080830574036,0.9259057641029358,0.8955466747283936,0.8839711546897888,0.8791776895523071
pc-4-ws-6420-b-0.1,0.9006428718566895,0.9232300519943237,0.8992186784744263,0.8794795870780945,0.8982561230659485
pc-4-ws-6420-b-0.7,0.9003027081489563,0.9244295358657837,0.8988820910453796,0.8775961399078369,0.91661536693573
pc-4-ws-6420-b-2,0.9002764225006104,0.9264296889305115,0.8972821235656738,0.8771171569824219,0.948469877243042
pc-4-ws-6420-b-0.02,0.8998385667800903,0.9324874877929688,0.892047643661499,0.8749806880950928,0.8126037120819092
pc-4-ws-6420-b-0.6,0.8996620774269104,0.9309414625167847,0.8941738605499268,0.8738707900047302,0.9130145907402039
pc-4-ws-6420-b-0.8,0.8984458446502686,0.925528347492218,0.8956454992294312,0.8741627335548401,0.9309044480323792
pc-4-ws-6420-b-0.5,0.8981421589851379,0.9331725239753723,0.8860395550727844,0.8752138018608093,0.906392514705658
pc-4-ws-6420-b-0.9,0.8977481126785278,0.9247679710388184,0.8920192122459412,0.876457929611206,0.8887882828712463
pc-4-ws-6420-b-3,0.8955323100090027,0.9223412275314331,0.8916276693344116,0.8726289868354797,0.941702663898468
pc-4-ws-6420-b-4,0.8930901885032654,0.9246523976325989,0.8898656964302063,0.8647522926330566,0.9377034902572632
pc-4-ws-6420-b-5,0.8922228217124939,0.9226218461990356,0.8925071954727173,0.8615394830703735,0.9523841738700867
pc-4-ws-6420-b-7,0.8916212320327759,0.9220947027206421,0.8885604739189148,0.8642085194587708,0.9449289441108704
pc-4-ws-6420-b-6,0.8909505605697632,0.9192202687263489,0.8933811187744141,0.8602497577667236,0.9393652081489563
pc-4-ws-6420-b-8,0.8878993391990662,0.9198670983314514,0.8885629773139954,0.8552685379981995,0.9583721160888672
pc-4-ws-6420-b-9,0.8839631676673889,0.9253841638565063,0.8701630234718323,0.8563423752784729,0.9629072546958923
pc-4-ws-6420-b-10,0.8816313743591309,0.9086894989013672,0.8830565810203552,0.8531480431556702,0.9419592022895813
