model_name,loss/dsc,loss/dsc_LV,loss/dsc_RV,loss/dsc_MYO,gen/anatomically_valid_recon
pc-4-ws-6420-b-1,0.900505542755127,0.9206923842430115,0.9042413830757141,0.8765820860862732,0.9312307238578796
pc-4-ws-6420-b-2,0.9004228711128235,0.923214316368103,0.902576744556427,0.8754771947860718,0.9424842596054077
pc-4-ws-6420-b-3,0.8999578952789307,0.9254896640777588,0.9025508165359497,0.8718332648277283,0.8997129201889038
pc-4-ws-6420-b-4,0.89617520570755,0.9235414862632751,0.8933985233306885,0.8715859055519104,0.9340790510177612
pc-4-ws-6420-b-6,0.8920319080352783,0.9241312146186829,0.891348123550415,0.8606163263320923,0.9693175554275513
pc-4-ws-6420-b-9,0.8900883197784424,0.9225622415542603,0.8922402262687683,0.8554621934890747,0.9687314033508301
pc-4-ws-6420-b-5,0.8871357440948486,0.9212186932563782,0.8798879981040955,0.8603010773658752,0.9476015567779541
pc-4-ws-6420-b-7,0.8870412707328796,0.9084730744361877,0.8883250951766968,0.8643253445625305,0.9528690576553345
pc-4-ws-6420-b-10,0.8843275308609009,0.9149296283721924,0.8795928359031677,0.8584603667259216,0.9422116279602051
pc-4-ws-6420-b-8,0.8829430341720581,0.9145256280899048,0.883074164390564,0.8512287139892578,0.9600587487220764
pc-4-ws-6420-b-12,0.8828933835029602,0.9137054681777954,0.880147397518158,0.854826807975769,0.9628679156303406
pc-4-ws-6420-b-13,0.8801297545433044,0.915814995765686,0.8757045269012451,0.8488696217536926,0.9493380188941956
pc-4-ws-6420-b-15,0.8767989277839661,0.9230530261993408,0.8670774102210999,0.8402662873268127,0.9554525017738342
pc-4-ws-6420-b-11,0.8753615021705627,0.9050045013427734,0.8684106469154358,0.852668285369873,0.9238771796226501
pc-4-ws-6420-b-18,0.8747661709785461,0.9192376732826233,0.8652294278144836,0.8398312926292419,0.965781569480896
pc-4-ws-6420-b-14,0.8713259696960449,0.9139292240142822,0.8615663051605225,0.8384823799133301,0.9695756435394287
pc-4-ws-6420-b-17,0.8673790693283081,0.9178995490074158,0.8598553538322449,0.8243817687034607,0.9625471234321594
pc-4-ws-6420-b-20,0.8627133369445801,0.9060162901878357,0.8527042269706726,0.8294187784194946,0.9625887870788574
pc-4-ws-6420-b-19,0.8557588458061218,0.8998987078666687,0.8525174856185913,0.8148597478866577,0.9701278805732727
pc-4-ws-6420-b-16,0.822613537311554,0.8702558875083923,0.821645975112915,0.775938093662262,0.9689458608627319
