model_name,loss/dsc,loss/dsc_LV,loss/dsc_RV,loss/dsc_MYO,gen/anatomically_valid_recon
pc-4-ws-6420-b-4,0.9048640727996826,0.9358552694320679,0.9003078937530518,0.878429651260376,0.960385799407959
pc-4-ws-6420-b-1,0.9044066667556763,0.9358928203582764,0.9002026915550232,0.8771234750747681,0.9268879890441895
pc-4-ws-6420-b-2,0.9042277336120605,0.9312326908111572,0.9024279117584229,0.8790225386619568,0.9448196291923523
pc-4-ws-6420-b-8,0.9005042910575867,0.9345049858093262,0.8986502885818481,0.8683580160140991,0.9309861063957214
pc-4-ws-6420-b-3,0.9001914858818054,0.9323681592941284,0.8955478072166443,0.8726596236228943,0.9186124205589294
pc-4-ws-6420-b-5,0.8997546434402466,0.9314793348312378,0.8974862694740295,0.8702983856201172,0.9289922118186951
pc-4-ws-6420-b-7,0.8972160220146179,0.9300165772438049,0.8923255801200867,0.8693050146102905,0.9467076659202576
pc-4-ws-6420-b-17,0.8961631655693054,0.9284847378730774,0.8927595019340515,0.8672465682029724,0.9626255035400391
pc-4-ws-6420-b-9,0.8957535028457642,0.9304773807525635,0.8899449706077576,0.8668379783630371,0.9264398217201233
pc-4-ws-6420-b-11,0.8950878381729126,0.9272476434707642,0.8942887783050537,0.863727331161499,0.9517753720283508
pc-4-ws-6420-b-6,0.8950148224830627,0.931976854801178,0.8852555751800537,0.8678115010261536,0.9159495830535889
pc-4-ws-6420-b-16,0.8914521932601929,0.9269304871559143,0.8836473822593689,0.8637784719467163,0.9504817724227905
pc-4-ws-6420-b-20,0.8912021517753601,0.9252841472625732,0.8891175985336304,0.8592047691345215,0.9598565101623535
pc-4-ws-6420-b-10,0.8903272747993469,0.917910635471344,0.890876829624176,0.8621938824653625,0.9249292612075806
pc-4-ws-6420-b-14,0.8902754187583923,0.9151763916015625,0.8947794437408447,0.860870361328125,0.9457128643989563
pc-4-ws-6420-b-13,0.8900762796401978,0.9235550761222839,0.8842371106147766,0.8624363541603088,0.8939279913902283
pc-4-ws-6420-b-15,0.8880025744438171,0.9164906144142151,0.890616238117218,0.8569006323814392,0.9504274129867554
pc-4-ws-6420-b-18,0.8875945210456848,0.9211982488632202,0.8839893937110901,0.8575957417488098,0.9576480388641357
pc-4-ws-6420-b-12,0.8874019384384155,0.9260885715484619,0.878444492816925,0.8576734066009521,0.9481539726257324
pc-4-ws-6420-b-19,0.8842757940292358,0.9185535907745361,0.8834446668624878,0.8508296012878418,0.9652517437934875
