model_name,loss/dsc,loss/dsc_LV,loss/dsc_RV,loss/dsc_MYO,gen/anatomically_valid_recon
z-128-ws-6420-b-1.125,0.9085499048233032,0.9384746551513672,0.904872715473175,0.8823031783103943,0.8821528553962708
z-64-ws-6420-b-1.125,0.9068031907081604,0.9344104528427124,0.905322253704071,0.8806770443916321,0.8783203363418579
z-32-ws-6420-b-1.25,0.9056268930435181,0.9369226694107056,0.9020077586174011,0.87795090675354,0.923758327960968
z-64-ws-6420-b-1,0.905613124370575,0.9345153570175171,0.9045403003692627,0.8777838945388794,0.898151159286499
z-64-ws-6420-b-2,0.9047017097473145,0.935191810131073,0.9011759757995605,0.8777371048927307,0.9116277098655701
z-64-ws-6420-b-1.5,0.9040991067886353,0.9290119409561157,0.90668785572052,0.8765970468521118,0.9237640500068665
z-128-ws-6420-b-1,0.9040424823760986,0.9346302151679993,0.9018917679786682,0.8756056427955627,0.8801808953285217
z-128-ws-6420-b-2,0.9037037491798401,0.929280698299408,0.9035400152206421,0.8782898783683777,0.9034691452980042
z-256-ws-6420-b-1,0.9030237793922424,0.9318209290504456,0.8990054130554199,0.8782440423965454,0.8823202252388
z-128-ws-6420-b-1.25,0.9028222560882568,0.9323736429214478,0.9002540707588196,0.8758390545845032,0.9078929424285889
z-64-ws-6420-b-1.25,0.9025661945343018,0.9334937930107117,0.8997372388839722,0.874468207359314,0.9038688540458679
z-32-ws-6420-b-1.125,0.9023006558418274,0.9325637817382812,0.8976544737815857,0.8766837120056152,0.9263179302215576
z-32-ws-6420-b-3,0.9021944403648376,0.9326401352882385,0.8986579775810242,0.875285267829895,0.9286190271377563
z-32-ws-6420-b-5,0.9018802046775818,0.9329544901847839,0.9002288579940796,0.8724572658538818,0.9137418866157532
z-64-ws-6420-b-3,0.901835560798645,0.9305657744407654,0.8990886807441711,0.8758519887924194,0.8873159289360046
z-32-ws-6420-b-1,0.9013071656227112,0.9312804341316223,0.8991576433181763,0.8734831809997559,0.9056726694107056
z-64-ws-6420-b-5,0.9007170796394348,0.9340763092041016,0.8934421539306641,0.8746326565742493,0.8648771643638611
z-128-ws-6420-b-1.5,0.9004829525947571,0.9322382211685181,0.8945042490959167,0.8747067451477051,0.8759661912918091
z-256-ws-6420-b-1.25,0.9001967906951904,0.9319398999214172,0.8963124752044678,0.8723382353782654,0.8148697018623352
z-32-ws-6420-b-1.5,0.8998914957046509,0.9268909692764282,0.8976617455482483,0.8751227855682373,0.9068150520324707
z-256-ws-6420-b-1.125,0.8994132280349731,0.9322497844696045,0.8936573266983032,0.8723326325416565,0.8134962320327759
z-32-ws-6420-b-2,0.8991236090660095,0.9277933239936829,0.8994263410568237,0.8701506853103638,0.910052478313446
z-64-ws-6420-b-7,0.8958151340484619,0.9285585880279541,0.8940317034721375,0.8648553490638733,0.903084397315979
z-32-ws-6420-b-7,0.8956472277641296,0.9274739623069763,0.8912906646728516,0.8681771159172058,0.9432899355888367
z-64-ws-6420-b-4,0.8956055641174316,0.9203333854675293,0.8978919982910156,0.8685914874076843,0.9058036208152771
z-32-ws-6420-b-10,0.8944658041000366,0.9263754487037659,0.8915961384773254,0.8654247522354126,0.9301235675811768
z-128-ws-6420-b-3,0.8936830759048462,0.9195029735565186,0.8932979106903076,0.8682492971420288,0.8889386653900146
z-128-ws-6420-b-4,0.8930392265319824,0.9255280494689941,0.8890458941459656,0.8645446300506592,0.8713394403457642
z-64-ws-6420-b-10,0.8930245041847229,0.9274551868438721,0.8847683668136597,0.8668493032455444,0.9253901839256287
z-128-ws-6420-b-7,0.8923601508140564,0.9215487837791443,0.8949378132820129,0.860593855381012,0.8758068680763245
z-256-ws-6420-b-1.5,0.892119288444519,0.9236934185028076,0.8834617733955383,0.8692033886909485,0.799325704574585
z-128-ws-6420-b-5,0.8919126987457275,0.9202404022216797,0.8912926316261292,0.8642047643661499,0.8868319988250732
z-32-ws-6420-b-4,0.8893790245056152,0.9145178198814392,0.8879214525222778,0.8656973838806152,0.9180529713630676
z-128-ws-6420-b-10,0.8873844146728516,0.91362464427948,0.8921455144882202,0.8563833832740784,0.8891756534576416
z-256-ws-6420-b-2,0.8599110245704651,0.9052314758300781,0.8613082766532898,0.8131942749023438,0.6730813384056091
z-256-ws-6420-b-3,0.8594185709953308,0.9069020748138428,0.8527719974517822,0.8185814023017883,0.6858884692192078
z-256-ws-6420-b-7,0.8573464155197144,0.9037026762962341,0.851967990398407,0.8163683414459229,0.6462278962135315
z-256-ws-6420-b-4,0.8489727973937988,0.8973100781440735,0.8507071137428284,0.7988998889923096,0.5450066924095154
z-256-ws-6420-b-5,0.8348062634468079,0.8921647667884827,0.8307865858078003,0.781466543674469,0.47526150941848755
z-256-ws-6420-b-10,0.8253151178359985,0.8786999583244324,0.8341689109802246,0.7630770206451416,0.543617844581604
