model_name,loss/dsc,loss/dsc_LV,loss/dsc_RV,loss/dsc_MYO,gen/anatomically_valid_recon
pc-4-ws-6420-b-0.4,0.9102192521095276,0.9405255317687988,0.9037363529205322,0.8863961100578308,0.9221392273902893
pc-4-ws-6420-b-0.05,0.9087539911270142,0.9401220679283142,0.9014172554016113,0.8847231268882751,0.908801794052124
pc-4-ws-6420-b-0.3,0.9082069993019104,0.9376847743988037,0.9051728844642639,0.8817640542984009,0.9198967218399048
pc-4-ws-6420-b-1,0.9081118702888489,0.9372435212135315,0.9056530594825745,0.8814386129379272,0.9374243021011353
pc-4-ws-6420-b-0.1,0.9076322913169861,0.9334045648574829,0.9043223857879639,0.8851699829101562,0.911151111125946
pc-4-ws-6420-b-0.02,0.9068249464035034,0.9352595806121826,0.9008620381355286,0.8843532800674438,0.907845675945282
pc-4-ws-6420-b-0.6,0.9055354595184326,0.9394302368164062,0.8961018323898315,0.8810744285583496,0.9314932823181152
pc-4-ws-6420-b-0.5,0.9054713249206543,0.9356940388679504,0.9041475653648376,0.876572847366333,0.9060046672821045
pc-4-ws-6420-b-0.8,0.9045842885971069,0.9365897178649902,0.8988952040672302,0.8782684206962585,0.8844153881072998
pc-4-ws-6420-b-2,0.9038046002388,0.9311743378639221,0.9006173014640808,0.8796219825744629,0.9483940601348877
pc-4-ws-6420-b-0.7,0.902860164642334,0.9283843040466309,0.9016018509864807,0.878594160079956,0.9195845723152161
pc-4-ws-6420-b-0.2,0.9023438096046448,0.9327913522720337,0.8994203209877014,0.8748186230659485,0.8981609344482422
pc-4-ws-6420-b-0.9,0.9020821452140808,0.9285306334495544,0.9010347127914429,0.8766806721687317,0.9130498766899109
pc-4-ws-6420-b-0.01,0.9016347527503967,0.9319422245025635,0.8897699117660522,0.8831923007965088,0.8682810068130493
pc-4-ws-6420-b-7,0.9012393355369568,0.9322461485862732,0.8991301655769348,0.872342050075531,0.9492337107658386
pc-4-ws-6420-b-6,0.9002526998519897,0.9300276041030884,0.8974031805992126,0.8733276128768921,0.9528656601905823
pc-4-ws-6420-b-0,0.8999789953231812,0.9350769519805908,0.8883249163627625,0.8765340447425842,0.8281644582748413
pc-4-ws-6420-b-3,0.8992385864257812,0.9284566640853882,0.9016560316085815,0.8676032423973083,0.9351550936698914
pc-4-ws-6420-b-5,0.8982089161872864,0.928561270236969,0.8923122882843018,0.8737529516220093,0.9248535633087158
pc-4-ws-6420-b-10,0.898074746131897,0.9316375851631165,0.8918862342834473,0.8707005977630615,0.960863471031189
pc-4-ws-6420-b-4,0.8977944254875183,0.934739887714386,0.8916460275650024,0.8669971227645874,0.9462904930114746
pc-4-ws-6420-b-9,0.896267294883728,0.9244951605796814,0.8936554789543152,0.8706509470939636,0.9511289000511169
pc-4-ws-6420-b-8,0.8960313200950623,0.9260746240615845,0.8906022906303406,0.8714168667793274,0.9473358392715454
