model_name,loss/dsc,loss/dsc_LV,loss/dsc_RV,loss/dsc_MYO,gen/anatomically_valid_recon
b-0.2,0.9125481247901917,0.9444170594215393,0.8994553089141846,0.8937713503837585,0.9647905826568604
b-2,0.9115743041038513,0.9424877166748047,0.8998949527740479,0.8923395276069641,0.9659292101860046
b-0.02,0.9110093116760254,0.9417469501495361,0.8993578553199768,0.8919233679771423,0.9485140442848206
b-4,0.9103778004646301,0.9427552819252014,0.8963009715080261,0.8920770883560181,0.9611064791679382
b-1,0.9102644920349121,0.9404402375221252,0.8985012769699097,0.8918511271476746,0.963362455368042
b-0.5,0.9097183346748352,0.9381668567657471,0.9005365967750549,0.8904519081115723,0.9663083553314209
b-5,0.9091167449951172,0.9384770393371582,0.8987849354743958,0.8900881409645081,0.9813627004623413
b-0.05,0.90900057554245,0.9378100037574768,0.8995477557182312,0.8896438479423523,0.9541957378387451
b-0.01,0.9089726805686951,0.942656934261322,0.89129239320755,0.8929694890975952,0.9490154385566711
b-0.1,0.9089082479476929,0.9409849047660828,0.8963989019393921,0.8893405795097351,0.9589571952819824
b-3,0.9087576866149902,0.9386029839515686,0.8963192701339722,0.8913508057594299,0.9677104949951172
b-9,0.9074335694313049,0.9397673010826111,0.8955099582672119,0.8870231509208679,0.9767625331878662
b-6,0.907310962677002,0.9416779279708862,0.8906649947166443,0.8895904421806335,0.9725898504257202
b-7,0.9071434736251831,0.9398215413093567,0.8932442665100098,0.8883656859397888,0.9747500419616699
b-12,0.905384361743927,0.9376153349876404,0.8931085467338562,0.8854291439056396,0.9815148711204529
b-10,0.9053333401679993,0.9375803470611572,0.8907554745674133,0.8876640796661377,0.9755780696868896
b-8,0.9052647948265076,0.9337872862815857,0.8945543766021729,0.8874527215957642,0.9730919003486633
b-14,0.9038998484611511,0.9360681772232056,0.891955554485321,0.8836763501167297,0.9778156280517578
b-15,0.9037257432937622,0.9355738162994385,0.8902251720428467,0.8853790163993835,0.9818294644355774
b-11,0.9034036993980408,0.9340656399726868,0.8904643058776855,0.8856820464134216,0.9772640466690063
b-13,0.9016497731208801,0.9296430945396423,0.894972026348114,0.8803339600563049,0.9726726412773132
