model_name,frds,dice_score,test_recon_loss
pc-4-ws-6420-b0-1500000-b1-250000-b2-50000,22.112834930419922,0.8705487847328186,1700.534423828125
pc-4-ws-6420-b0-1500000-b1-250000-b2-25000,33.665626525878906,0.8867228031158447,1543.1075439453125
pc-4-ws-6420-b0-500000-b1-75000-b2-100000,41.43120193481445,0.9396618604660034,768.0169677734375
pc-4-ws-6420-b0-1500000-b1-250000-b2-100000,42.157005310058594,0.8851955533027649,1553.1317138671875
pc-4-ws-6420-b0-500000-b1-250000-b2-50000,42.78590393066406,0.9326881170272827,894.1236572265625
pc-4-ws-6420-b0-1500000-b1-75000-b2-25000,62.1240348815918,0.9339572191238403,823.6774291992188
pc-4-ws-6420-b0-500000-b1-250000-b2-25000,67.44287872314453,0.9160977602005005,1058.7349853515625
pc-4-ws-6420-b0-1500000-b1-25000-b2-25000,73.99512481689453,0.9566444754600525,544.5870361328125
pc-4-ws-6420-b0-150000-b1-25000-b2-10000,83.47266387939453,0.9608752131462097,513.240478515625
pc-4-ws-6420-b0-1500000-b1-25000-b2-10000,83.57280731201172,0.9576093554496765,530.402587890625
pc-4-ws-6420-b0-500000-b1-75000-b2-25000,94.63777160644531,0.9388708472251892,754.950927734375
pc-4-ws-6420-b0-50000-b1-25000-b2-10000,97.3752212524414,0.9707435965538025,395.12774658203125
pc-4-ws-6420-b0-50000-b1-25000-b2-100000,100.47125244140625,0.9707611203193665,396.62371826171875
pc-4-ws-6420-b0-150000-b1-75000-b2-25000,101.7423324584961,0.9613289833068848,537.3394775390625
pc-4-ws-6420-b0-50000-b1-25000-b2-25000,103.47425079345703,0.9702656865119934,398.795166015625
pc-4-ws-6420-b0-500000-b1-75000-b2-50000,103.72933959960938,0.9420115351676941,729.03173828125
pc-4-ws-6420-b0-150000-b1-25000-b2-25000,107.4780502319336,0.9584426879882812,546.4777221679688
pc-4-ws-6420-b0-150000-b1-250000-b2-25000,107.88713836669922,0.957421600818634,554.0957641601562
pc-4-ws-6420-b0-1500000-b1-25000-b2-100000,114.33907318115234,0.9562827348709106,552.0621948242188
pc-4-ws-6420-b0-150000-b1-25000-b2-50000,115.7820816040039,0.9589623808860779,522.878173828125
pc-4-ws-6420-b0-500000-b1-25000-b2-10000,117.12669372558594,0.9582294821739197,533.6729125976562
pc-4-ws-6420-b0-1500000-b1-75000-b2-50000,118.19853210449219,0.9361194968223572,759.1832275390625
pc-4-ws-6420-b0-1500000-b1-75000-b2-100000,125.73474884033203,0.9410029649734497,736.3766479492188
pc-4-ws-6420-b0-50000-b1-75000-b2-10000,127.01160430908203,0.9692951440811157,405.729736328125
pc-4-ws-6420-b0-500000-b1-250000-b2-10000,129.21725463867188,0.9234055876731873,967.8612060546875
pc-4-ws-6420-b0-50000-b1-250000-b2-10000,130.9730987548828,0.9686504006385803,410.2597351074219
pc-4-ws-6420-b0-50000-b1-75000-b2-25000,134.61334228515625,0.9701732993125916,401.789306640625
pc-4-ws-6420-b0-50000-b1-250000-b2-100000,134.65142822265625,0.9695684313774109,401.6510925292969
pc-4-ws-6420-b0-150000-b1-75000-b2-10000,137.3631134033203,0.9603148698806763,509.4729309082031
pc-4-ws-6420-b0-500000-b1-25000-b2-50000,138.62660217285156,0.9590677618980408,524.064453125
pc-4-ws-6420-b0-150000-b1-250000-b2-50000,139.69882202148438,0.9589229822158813,544.0580444335938
pc-4-ws-6420-b0-50000-b1-25000-b2-50000,140.62460327148438,0.9701584577560425,397.17047119140625
pc-4-ws-6420-b0-150000-b1-75000-b2-100000,141.40516662597656,0.96173495054245,536.2014770507812
pc-4-ws-6420-b0-150000-b1-250000-b2-100000,142.02149963378906,0.9597201943397522,543.2138061523438
pc-4-ws-6420-b0-50000-b1-75000-b2-100000,143.6593017578125,0.9698537588119507,403.0784912109375
pc-4-ws-6420-b0-500000-b1-25000-b2-25000,144.1680145263672,0.9587541818618774,527.7499389648438
pc-4-ws-6420-b0-500000-b1-25000-b2-100000,144.31674194335938,0.9579746723175049,529.2506103515625
pc-4-ws-6420-b0-50000-b1-250000-b2-50000,144.96498107910156,0.9702813029289246,404.06878662109375
pc-4-ws-6420-b0-50000-b1-250000-b2-25000,148.6889190673828,0.9701257944107056,404.6628112792969
pc-4-ws-6420-b0-150000-b1-75000-b2-50000,153.30604553222656,0.957467794418335,550.544677734375
pc-4-ws-6420-b0-150000-b1-25000-b2-100000,158.6526641845703,0.9603683352470398,514.14697265625
pc-4-ws-6420-b0-50000-b1-75000-b2-50000,161.7666473388672,0.9703680276870728,397.44708251953125
pc-4-ws-6420-b0-500000-b1-250000-b2-100000,172.653076171875,0.9315362572669983,934.4638061523438
pc-4-ws-6420-b0-500000-b1-75000-b2-10000,219.0917205810547,0.923865020275116,1033.124755859375
pc-4-ws-6420-b0-1500000-b1-75000-b2-10000,224.31417846679688,0.9235907793045044,962.9381103515625
pc-4-ws-6420-b0-1500000-b1-25000-b2-50000,230.01425170898438,0.9579660892486572,526.5420532226562
pc-4-ws-6420-b0-1500000-b1-250000-b2-10000,234.11448669433594,0.9238645434379578,981.4262084960938
pc-4-ws-6420-b0-150000-b1-250000-b2-10000,679.1895141601562,0.9587865471839905,521.0418090820312
