model_name,fid,test_recon_loss
pc-16-ws-5350-b0-5000000-b1-750000-b2-1500000,11.305727005004883,2984.103759765625
pc-8-ws-5350-b0-1500000-b1-250000-b2-5000000,11.5267972946167,1781.633056640625
pc-16-ws-5350-b0-5000000-b1-250000-b2-5000000,11.600656509399414,1736.865234375
pc-16-ws-5350-b0-5000000-b1-750000-b2-500000,12.073575019836426,3045.27001953125
pc-8-ws-5350-b0-5000000-b1-250000-b2-5000000,12.279439926147461,1829.9449462890625
pc-8-ws-5350-b0-5000000-b1-750000-b2-1500000,12.393491744995117,3090.04833984375
pc-16-ws-5350-b0-5000000-b1-750000-b2-5000000,12.422536849975586,3071.306640625
pc-8-ws-5350-b0-5000000-b1-750000-b2-500000,12.507403373718262,3289.628662109375
pc-16-ws-5350-b0-5000000-b1-250000-b2-1500000,12.676834106445312,1721.0882568359375
pc-8-ws-5350-b0-5000000-b1-750000-b2-5000000,12.771662712097168,3131.454345703125
pc-16-ws-5350-b0-1500000-b1-250000-b2-500000,12.809940338134766,1741.95068359375
pc-16-ws-5350-b0-1500000-b1-250000-b2-1500000,12.898454666137695,1744.6083984375
pc-8-ws-5350-b0-5000000-b1-250000-b2-1500000,13.029563903808594,1795.6436767578125
pc-16-ws-5350-b0-5000000-b1-250000-b2-500000,13.284649848937988,1772.2979736328125
pc-8-ws-5350-b0-1500000-b1-250000-b2-500000,13.626680374145508,1839.697265625
pc-16-ws-5350-b0-5000000-b1-2500000-b2-500000,13.974638938903809,4266.71630859375
pc-16-ws-5350-b0-5000000-b1-2500000-b2-5000000,14.146677017211914,4322.01220703125
pc-16-ws-5350-b0-5000000-b1-2500000-b2-1500000,14.350744247436523,4317.03759765625
pc-16-ws-5350-b0-1500000-b1-250000-b2-5000000,14.506905555725098,1713.38525390625
pc-8-ws-5350-b0-1500000-b1-250000-b2-1500000,14.571035385131836,1789.842041015625
pc-8-ws-5350-b0-5000000-b1-2500000-b2-500000,14.625545501708984,4415.287109375
pc-8-ws-5350-b0-500000-b1-250000-b2-500000,14.859796524047852,1383.95458984375
pc-8-ws-5350-b0-500000-b1-250000-b2-5000000,14.865984916687012,1404.197509765625
pc-16-ws-5350-b0-500000-b1-250000-b2-5000000,14.96888542175293,1328.4151611328125
pc-8-ws-5350-b0-5000000-b1-250000-b2-500000,15.101171493530273,1764.336669921875
pc-8-ws-5350-b0-5000000-b1-2500000-b2-5000000,15.3875732421875,4440.42626953125
pc-16-ws-5350-b0-500000-b1-250000-b2-1500000,16.6035099029541,1342.4605712890625
pc-16-ws-5350-b0-1500000-b1-750000-b2-5000000,16.784780502319336,2348.665771484375
pc-16-ws-5350-b0-1500000-b1-2500000-b2-1500000,16.7880916595459,2323.94580078125
pc-16-ws-5350-b0-500000-b1-250000-b2-500000,16.793621063232422,1342.47705078125
pc-8-ws-5350-b0-5000000-b1-2500000-b2-1500000,16.99159049987793,4447.24755859375
pc-16-ws-5350-b0-1500000-b1-2500000-b2-500000,17.010587692260742,2277.521240234375
pc-8-ws-5350-b0-500000-b1-250000-b2-1500000,17.495729446411133,1390.7958984375
pc-16-ws-5350-b0-1500000-b1-750000-b2-500000,17.996795654296875,2271.93408203125
pc-16-ws-5350-b0-1500000-b1-750000-b2-1500000,18.22021484375,2268.334716796875
pc-8-ws-5350-b0-1500000-b1-2500000-b2-500000,18.960140228271484,2363.99267578125
pc-8-ws-5350-b0-1500000-b1-750000-b2-1500000,19.015396118164062,2373.90185546875
pc-16-ws-5350-b0-1500000-b1-2500000-b2-5000000,19.069337844848633,2311.79736328125
pc-8-ws-5350-b0-1500000-b1-2500000-b2-1500000,19.07611846923828,2331.91650390625
pc-16-ws-5350-b0-500000-b1-2500000-b2-500000,19.30132293701172,1347.0833740234375
pc-8-ws-5350-b0-1500000-b1-750000-b2-500000,19.635042190551758,2356.647705078125
pc-16-ws-5350-b0-500000-b1-750000-b2-1500000,20.141639709472656,1386.343994140625
pc-16-ws-5350-b0-500000-b1-750000-b2-500000,20.583839416503906,1340.365234375
pc-8-ws-5350-b0-500000-b1-2500000-b2-500000,21.04027557373047,1403.676025390625
pc-8-ws-5350-b0-1500000-b1-750000-b2-5000000,21.681745529174805,2371.23388671875
pc-16-ws-5350-b0-500000-b1-2500000-b2-1500000,22.138427734375,1354.9871826171875
pc-8-ws-5350-b0-1500000-b1-2500000-b2-5000000,22.31147003173828,2352.8232421875
pc-8-ws-5350-b0-500000-b1-750000-b2-1500000,22.356163024902344,1399.8431396484375
pc-16-ws-5350-b0-500000-b1-2500000-b2-5000000,22.38112449645996,1344.675537109375
pc-16-ws-5350-b0-500000-b1-750000-b2-5000000,22.514657974243164,1367.9931640625
pc-8-ws-5350-b0-500000-b1-2500000-b2-1500000,22.618640899658203,1387.0411376953125
pc-8-ws-5350-b0-500000-b1-750000-b2-500000,22.77140235900879,1417.20166015625
pc-8-ws-5350-b0-500000-b1-2500000-b2-5000000,23.35148048400879,1416.608154296875
pc-8-ws-5350-b0-500000-b1-750000-b2-5000000,24.935373306274414,1410.9327392578125
