model_name,fid,test_recon_loss
pc-16-ws-5350-b0-2500000-b1-2500000-b2-1000000,13.244303703308105,9199.1181640625
pc-16-ws-3210-b0-5000000-b1-1000000-b2-5000000,14.122435569763184,10208.7783203125
pc-16-ws-5350-b0-5000000-b1-2500000-b2-5000000,14.481261253356934,12095.37890625
pc-16-ws-3210-b0-5000000-b1-1000000-b2-2500000,14.727095603942871,10071.3056640625
pc-16-ws-5350-b0-5000000-b1-2500000-b2-2500000,14.77740478515625,12188.6953125
pc-16-ws-5350-b0-5000000-b1-5000000-b2-2500000,14.788609504699707,11914.90234375
pc-16-ws-5350-b0-5000000-b1-1000000-b2-2500000,14.811616897583008,9928.0693359375
pc-16-ws-5350-b0-5000000-b1-5000000-b2-1000000,14.825662612915039,12117.6630859375
pc-16-ws-5350-b0-2500000-b1-2500000-b2-5000000,14.983158111572266,9272.0302734375
pc-16-ws-5350-b0-5000000-b1-1000000-b2-1000000,15.102373123168945,10133.3505859375
pc-16-ws-5350-b0-5000000-b1-2500000-b2-1000000,15.386443138122559,12084.9375
pc-16-ws-3210-b0-1000000-b1-1000000-b2-5000000,15.458659172058105,5760.22412109375
pc-16-ws-3210-b0-2500000-b1-2500000-b2-1000000,15.493305206298828,9572.916015625
pc-16-ws-3210-b0-1000000-b1-2500000-b2-1000000,15.536686897277832,5782.25439453125
pc-16-ws-3210-b0-2500000-b1-5000000-b2-2500000,15.551380157470703,9703.9541015625
pc-16-ws-3210-b0-1000000-b1-5000000-b2-2500000,15.625624656677246,5760.42822265625
pc-16-ws-5350-b0-5000000-b1-5000000-b2-5000000,15.71217155456543,12057.3408203125
pc-16-ws-3210-b0-1000000-b1-2500000-b2-5000000,15.846561431884766,5823.96142578125
pc-16-ws-3210-b0-2500000-b1-2500000-b2-2500000,15.903837203979492,9700.130859375
pc-16-ws-3210-b0-5000000-b1-2500000-b2-1000000,16.00273323059082,12284.8330078125
pc-16-ws-5350-b0-2500000-b1-5000000-b2-1000000,16.01167869567871,9310.4130859375
pc-16-ws-3210-b0-2500000-b1-5000000-b2-1000000,16.203027725219727,9892.1298828125
pc-16-ws-3210-b0-5000000-b1-1000000-b2-1000000,16.305830001831055,10769.447265625
pc-16-ws-3210-b0-2500000-b1-5000000-b2-5000000,16.33361053466797,9815.98828125
pc-16-ws-3210-b0-2500000-b1-1000000-b2-5000000,16.355409622192383,9638.2314453125
pc-16-ws-3210-b0-1000000-b1-5000000-b2-5000000,16.437095642089844,5731.96142578125
pc-16-ws-3210-b0-1000000-b1-1000000-b2-2500000,16.76211929321289,5691.408203125
pc-16-ws-5350-b0-2500000-b1-5000000-b2-5000000,16.826566696166992,9384.111328125
pc-16-ws-3210-b0-2500000-b1-1000000-b2-1000000,16.99140739440918,9614.306640625
pc-16-ws-3210-b0-1000000-b1-5000000-b2-1000000,17.039979934692383,5642.14794921875
pc-16-ws-3210-b0-2500000-b1-1000000-b2-2500000,17.19658088684082,9886.876953125
pc-16-ws-3210-b0-1000000-b1-2500000-b2-2500000,17.366840362548828,5685.23876953125
pc-16-ws-3210-b0-5000000-b1-2500000-b2-5000000,17.553495407104492,12504.234375
pc-16-ws-3210-b0-2500000-b1-2500000-b2-5000000,17.68439292907715,9593.0146484375
pc-16-ws-3210-b0-5000000-b1-5000000-b2-1000000,17.792156219482422,12192.884765625
pc-16-ws-3210-b0-1000000-b1-1000000-b2-1000000,17.835601806640625,5724.5234375
pc-16-ws-3210-b0-5000000-b1-2500000-b2-2500000,18.415367126464844,12685.2080078125
pc-16-ws-3210-b0-5000000-b1-5000000-b2-5000000,18.72183609008789,12573.95703125
pc-16-ws-3210-b0-5000000-b1-5000000-b2-2500000,18.959423065185547,12616.244140625
pc-16-ws-5350-b0-5000000-b1-1000000-b2-5000000,22.349828720092773,11396.740234375
pc-16-ws-5350-b0-2500000-b1-1000000-b2-2500000,23.719053268432617,6513.21826171875
pc-16-ws-5350-b0-1000000-b1-2500000-b2-1000000,28.951162338256836,4483.78759765625
pc-16-ws-5350-b0-1000000-b1-2500000-b2-2500000,30.130887985229492,4414.2216796875
pc-16-ws-5350-b0-1000000-b1-5000000-b2-5000000,30.602445602416992,4324.00244140625
pc-16-ws-5350-b0-1000000-b1-1000000-b2-5000000,31.38617706298828,4447.79052734375
pc-16-ws-5350-b0-2500000-b1-1000000-b2-5000000,31.466426849365234,7159.10986328125
pc-16-ws-5350-b0-1000000-b1-5000000-b2-2500000,33.11796569824219,4302.02783203125
pc-16-ws-5350-b0-2500000-b1-2500000-b2-2500000,34.22711944580078,6790.01904296875
pc-16-ws-5350-b0-2500000-b1-1000000-b2-1000000,35.24240493774414,7482.74267578125
pc-16-ws-5350-b0-1000000-b1-2500000-b2-5000000,35.45429992675781,4720.07177734375
pc-16-ws-5350-b0-1000000-b1-1000000-b2-1000000,38.98814392089844,4588.39111328125
pc-16-ws-5350-b0-1000000-b1-5000000-b2-1000000,39.12813186645508,4593.947265625
pc-16-ws-5350-b0-2500000-b1-5000000-b2-2500000,43.5289306640625,7188.93701171875
pc-16-ws-5350-b0-1000000-b1-1000000-b2-2500000,48.990867614746094,4184.85400390625
