model_name,gen/frds,loss/dsc
pc-4-ws-6420-b-1,61.08029556274414,0.9863631725311279
pc-4-ws-6420-b-2,82.74777221679688,0.9743058085441589
pc-4-ws-6420-b-3,40.85594940185547,0.9718159437179565
pc-4-ws-6420-b-4,50.257286071777344,0.9682875871658325
pc-4-ws-6420-b-5,66.92530059814453,0.9664923548698425
pc-4-ws-6420-b-6,60.52790451049805,0.9644912481307983
pc-4-ws-6420-b-7,49.68098449707031,0.9637237787246704
pc-4-ws-6420-b-9,51.4325065612793,0.9622040390968323
pc-4-ws-6420-b-8,62.315818786621094,0.9619168043136597
pc-4-ws-6420-b-10,72.0751724243164,0.9584169983863831
pc-4-ws-6420-b-11,64.97328186035156,0.9567909836769104
pc-4-ws-6420-b-12,62.22859573364258,0.9557858109474182
pc-4-ws-6420-b-15,39.31867599487305,0.9551333785057068
pc-4-ws-6420-b-13,88.18653106689453,0.9524418115615845
pc-4-ws-6420-b-14,52.95688247680664,0.9507005214691162
pc-4-ws-6420-b-16,79.07682037353516,0.9501630067825317
pc-4-ws-6420-b-17,74.69998168945312,0.9491764307022095
pc-4-ws-6420-b-18,64.12506103515625,0.9469305872917175
pc-4-ws-6420-b-19,36.43008804321289,0.9465680122375488
pc-4-ws-6420-b-20,42.13780975341797,0.9424534440040588
