model_name,gen/frds,loss/dsc
pc-4-ws-6420-b-1,81.17779541015625,0.9982936382293701
pc-4-ws-6420-b-2,48.94530487060547,0.9744605422019958
pc-4-ws-6420-b-3,41.39370346069336,0.9713841676712036
pc-4-ws-6420-b-4,73.38339233398438,0.9693387746810913
pc-4-ws-6420-b-5,82.35417175292969,0.9667503833770752
pc-4-ws-6420-b-6,86.7485580444336,0.965308666229248
pc-4-ws-6420-b-7,96.63587951660156,0.9638825058937073
pc-4-ws-6420-b-8,75.62044525146484,0.9612362384796143
pc-4-ws-6420-b-9,76.53416442871094,0.9584277868270874
pc-4-ws-6420-b-10,67.5615463256836,0.955847978591919
pc-4-ws-6420-b-11,76.38239288330078,0.9539259672164917
pc-4-ws-6420-b-12,70.5573501586914,0.9527838826179504
pc-4-ws-6420-b-14,98.51664733886719,0.9507448673248291
pc-4-ws-6420-b-13,73.63996887207031,0.9495198130607605
pc-4-ws-6420-b-15,73.14356994628906,0.9472513198852539
pc-4-ws-6420-b-16,61.533260345458984,0.9464267492294312
pc-4-ws-6420-b-17,74.7064208984375,0.9439448118209839
pc-4-ws-6420-b-19,73.23981475830078,0.9422609806060791
pc-4-ws-6420-b-18,54.536582946777344,0.9422446489334106
pc-4-ws-6420-b-20,85.217529296875,0.9403061866760254
