model_name,gen/frds,gen/anatomically_valid,loss/dsc
pc-4-ws-6420-b-1,122.7612075805664,0.5762081742286682,0.9990211725234985
pc-4-ws-6420-b-2,84.85047149658203,0.8141263723373413,0.9845806956291199
pc-4-ws-6420-b-3,116.44944763183594,0.8020446300506592,0.9716609716415405
pc-4-ws-6420-b-4,97.08983612060547,0.8986988663673401,0.9701347351074219
pc-4-ws-6420-b-5,101.47406005859375,0.8420074582099915,0.9673470854759216
pc-4-ws-6420-b-6,131.93157958984375,0.8503717184066772,0.9661751985549927
pc-4-ws-6420-b-7,102.07101440429688,0.8420074582099915,0.9641165733337402
pc-4-ws-6420-b-8,85.43464660644531,0.8828996419906616,0.9607625603675842
pc-4-ws-6420-b-10,109.71428680419922,0.8875464797019958,0.958138644695282
pc-4-ws-6420-b-9,89.87779998779297,0.8838289976119995,0.9567250609397888
pc-4-ws-6420-b-12,104.13882446289062,0.893122673034668,0.9548727869987488
pc-4-ws-6420-b-11,99.12921905517578,0.8847583532333374,0.9539080262184143
pc-4-ws-6420-b-13,110.93170928955078,0.8912639617919922,0.9518834352493286
pc-4-ws-6420-b-14,83.9447021484375,0.8894051909446716,0.9472788572311401
pc-4-ws-6420-b-15,78.44469451904297,0.8903345465660095,0.9469640254974365
pc-4-ws-6420-b-16,145.5384521484375,0.9265799522399902,0.946621835231781
pc-4-ws-6420-b-17,62.43730545043945,0.9368029832839966,0.944279670715332
pc-4-ws-6420-b-20,101.677734375,0.8977695107460022,0.9399392008781433
pc-4-ws-6420-b-19,68.35970306396484,0.9247211813926697,0.9389736652374268
pc-4-ws-6420-b-18,87.74806213378906,0.8959107995033264,0.9389255046844482
