model_name,loss/dsc,loss/dsc_LV,loss/dsc_RV,loss/dsc_MYO,gen/anatomically_valid_recon
b-0.5-latent-64,0.8935614824295044,0.9297488331794739,0.8798637986183167,0.8710716962814331,0.7563386559486389
b-0.2-latent-64,0.8935302495956421,0.9290043711662292,0.8783432841300964,0.8732430338859558,0.780402421951294
b-2-latent-64,0.8932527899742126,0.9295841455459595,0.8789392709732056,0.8712345957756042,0.7557251453399658
b-1-latent-64,0.8930928707122803,0.9294164776802063,0.8790637850761414,0.8707985877990723,0.7284570336341858
b-0.1-latent-64,0.8927072882652283,0.9284861087799072,0.8794971704483032,0.8701381683349609,0.8120079040527344
b-0.1-latent-32,0.8920027017593384,0.9279758930206299,0.8767648339271545,0.871268093585968,0.8826910257339478
b-5-latent-64,0.8919641971588135,0.9260098934173584,0.8800827264785767,0.8697994351387024,0.7816979885101318
b-2-latent-32,0.8917253613471985,0.9264697432518005,0.8789149522781372,0.8697912096977234,0.8960420489311218
b-0.2-latent-32,0.8915743231773376,0.9263253808021545,0.876843273639679,0.8715537786483765,0.8958218097686768
b-0.5-latent-32,0.891386091709137,0.9248552918434143,0.8780423998832703,0.8712605237960815,0.8631542325019836
b-1-latent-32,0.8911113739013672,0.9248365759849548,0.8783335089683533,0.8701635003089905,0.8895195722579956
b-5-latent-32,0.8892064094543457,0.9238120317459106,0.877876877784729,0.8659310936927795,0.9042958617210388
b-10-latent-64,0.8887114524841309,0.9290097951889038,0.8716533184051514,0.8654717803001404,0.7881699204444885
b-10-latent-32,0.8874366879463196,0.9237654209136963,0.8749970197677612,0.8635480999946594,0.8813520073890686
b-0.1-latent-16,0.8823065161705017,0.9223109483718872,0.8650409579277039,0.8595678806304932,0.8709965348243713
b-2-latent-16,0.8811004757881165,0.9210613965988159,0.8641733527183533,0.8580663204193115,0.8536785244941711
b-0.5-latent-16,0.8807725310325623,0.9201916456222534,0.8625282049179077,0.8595976829528809,0.7972006797790527
b-1-latent-16,0.8805122375488281,0.919649600982666,0.8651250600814819,0.8567616939544678,0.7908485531806946
b-0.2-latent-16,0.8793858885765076,0.9188471436500549,0.8601709604263306,0.8591398596763611,0.7420250177383423
b-5-latent-16,0.8790640234947205,0.917863130569458,0.8646035194396973,0.8547259569168091,0.8311969041824341
b-10-latent-16,0.8747494220733643,0.9124611616134644,0.8629196286201477,0.8488669395446777,0.782291054725647
b-1-latent-8,0.8634501099586487,0.9028981924057007,0.8555853366851807,0.8318665027618408,0.7508180141448975
b-0.5-latent-8,0.8632665276527405,0.9018207788467407,0.8560194969177246,0.8319593071937561,0.8450735211372375
b-0.2-latent-8,0.8628544807434082,0.8999454379081726,0.8555954694747925,0.8330224752426147,0.874789834022522
b-0.1-latent-8,0.8628376722335815,0.9017055630683899,0.8535842299461365,0.8332228660583496,0.8463220000267029
b-10-latent-8,0.8626841902732849,0.900066077709198,0.851961076259613,0.8360262513160706,0.8453764319419861
b-5-latent-8,0.8613895177841187,0.9005346894264221,0.8537488579750061,0.829884946346283,0.7449844479560852
b-2-latent-8,0.8610267043113708,0.9012361168861389,0.8498854637145996,0.8319587707519531,0.7471112012863159
