model_name,gen/frds,gen/fid,gen/anatomically_valid,loss/dsc
ld-8-beta-200,73.12234497070312,12.54218578338623,0.5381041169166565,0.8228508830070496
ld-6-beta-200,78.6348648071289,13.218034744262695,0.5697026252746582,0.8289211392402649
ld-8-beta-100,87.58715057373047,16.569751739501953,0.7453531622886658,0.8491930365562439
ld-6-beta-100,88.45207214355469,17.334518432617188,0.595724880695343,0.8426077365875244
ld-8-beta-500,111.22096252441406,11.117032051086426,0.3531598448753357,0.7449198961257935
ld-16-beta-200,117.57164764404297,12.645031929016113,0.2834572494029999,0.8196823000907898
ld-4-beta-200,121.01067352294922,13.248281478881836,0.671933114528656,0.777344822883606
ld-8-beta-50,128.04710388183594,18.408090591430664,0.7118958830833435,0.8656907081604004
ld-6-beta-50,128.43357849121094,20.351118087768555,0.6087360382080078,0.8485456705093384
ld-4-beta-500,131.57962036132812,10.134431838989258,0.4544609785079956,0.7292963266372681
ld-16-beta-100,135.23388671875,14.912418365478516,0.4293680191040039,0.8511804342269897
ld-4-beta-50,136.74502563476562,17.770854949951172,0.6301115155220032,0.780748724937439
ld-4-beta-100,139.27345275878906,15.253466606140137,0.7230483293533325,0.7810156345367432
ld-6-beta-500,141.7903289794922,11.59848403930664,0.2750929296016693,0.744972288608551
ld-16-beta-500,159.65057373046875,12.462579727172852,0.30483272671699524,0.7500006556510925
ld-16-beta-1000,168.6607666015625,12.118432998657227,0.1087360605597496,0.6676802039146423
ld-4-beta-20,181.320556640625,26.420583724975586,0.8252788186073303,0.789457380771637
ld-2-beta-2000,224.32154846191406,17.435688018798828,0.0641263946890831,0.5304336547851562
ld-16-beta-50,234.55345153808594,14.957072257995605,0.289033442735672,0.8814069628715515
ld-16-beta-2000,241.0032501220703,19.385427474975586,0.021375464275479317,0.4754026234149933
ld-6-beta-1000,245.956298828125,13.02192497253418,0.0836431235074997,0.6519659161567688
ld-4-beta-1000,262.55523681640625,10.989299774169922,0.17472119629383087,0.6190840005874634
ld-4-beta-2000,262.771484375,18.902339935302734,0.02044609747827053,0.4961682856082916
ld-8-beta-1000,271.8128662109375,12.38990592956543,0.09851301461458206,0.6458199620246887
ld-4-beta-10,271.9205627441406,28.99240493774414,0.6524163484573364,0.7854207754135132
ld-8-beta-2000,274.7515563964844,17.46649932861328,0.0288104098290205,0.4936002790927887
ld-6-beta-2000,315.7072448730469,18.017465591430664,0.0288104098290205,0.504959225654602
ld-2-beta-500,321.9207458496094,17.63176918029785,0.7602230310440063,0.6335225105285645
ld-2-beta-1000,323.2090148925781,18.36965560913086,0.5399628281593323,0.5956901907920837
ld-2-beta-200,325.7357482910156,17.527952194213867,0.6524163484573364,0.6126326322555542
ld-2-beta-100,328.6672668457031,20.639450073242188,0.6663568615913391,0.6386472582817078
ld-2-beta-50,365.11395263671875,25.87477684020996,0.5910780429840088,0.6468997001647949
ld-2-beta-20,377.400146484375,33.10665512084961,0.6886616945266724,0.6427579522132874
ld-2-beta-5,419.4620056152344,113.80364227294922,0.5975836515426636,0.6458750367164612
ld-2-beta-10,445.97772216796875,47.65082931518555,0.6338289976119995,0.6520325541496277
ld-2-beta-0.01,470.93121337890625,87.09239959716797,0.012081784196197987,0.6521847248077393
ld-6-beta-20,471.8566589355469,20.294485092163086,0.4349442422389984,0.8547207117080688
ld-4-beta-5,496.85211181640625,32.15414810180664,0.5483271479606628,0.7865176200866699
ld-8-beta-20,507.08502197265625,23.242572784423828,0.5027881264686584,0.8713591694831848
ld-16-beta-20,518.8077392578125,18.15137481689453,0.14962825179100037,0.8921303749084473
ld-4-beta-2,525.7281494140625,62.14189147949219,0.443308562040329,0.7871649861335754
ld-2-beta-2,538.0123901367188,116.4253158569336,0.39498141407966614,0.6509693264961243
ld-2-beta-1,555.6460571289062,98.21050262451172,0.29832714796066284,0.6526221036911011
ld-2-beta-0.5,572.5235595703125,68.58628845214844,0.26486989855766296,0.6536158323287964
ld-2-beta-5000,594.3863525390625,94.61835479736328,0.0,0.339616060256958
ld-16-beta-5000,609.1748657226562,90.16134643554688,0.0,0.3435787260532379
ld-2-beta-0.2,635.7774047851562,72.98194122314453,0.16356877982616425,0.6545379757881165
ld-8-beta-5000,669.8839111328125,128.258544921875,0.0,0.31759747862815857
ld-16-beta-10,676.4556884765625,24.004268646240234,0.08736059814691544,0.8998153805732727
ld-2-beta-0.02,685.0932006835938,56.03187942504883,0.014869888313114643,0.6493262648582458
ld-2-beta-0.05,695.0685424804688,57.792755126953125,0.015799256041646004,0.6521408557891846
ld-4-beta-5000,741.732421875,107.56117248535156,0.0,0.3241344094276428
ld-6-beta-5000,753.2942504882812,100.80380249023438,0.0,0.3321479856967926
ld-2-beta-0.1,769.9817504882812,67.76656341552734,0.01672862470149994,0.6514229774475098
ld-16-beta-5,797.6744995117188,28.493547439575195,0.057620819658041,0.8997966647148132
ld-6-beta-10,861.49658203125,20.833518981933594,0.3736059367656708,0.8587609529495239
ld-16-beta-2,949.1881103515625,29.853281021118164,0.05390334501862526,0.9038559198379517
ld-8-beta-10,1072.9847412109375,26.70029067993164,0.41356876492500305,0.8736872673034668
ld-16-beta-1,1086.6685791015625,29.657381057739258,0.027881041169166565,0.9023270010948181
ld-16-beta-0.5,1181.9718017578125,27.236927032470703,0.024163568392395973,0.9076380729675293
ld-6-beta-5,1277.9761962890625,22.120424270629883,0.21654275059700012,0.8610922694206238
ld-4-beta-1,1450.492919921875,48.79035568237305,0.06598512828350067,0.7792741656303406
ld-4-beta-0.5,1474.08837890625,70.8031005859375,0.09758364409208298,0.7969525456428528
ld-8-beta-5,1492.4031982421875,35.79412841796875,0.30390334129333496,0.8739830255508423
ld-4-beta-0.02,1627.7947998046875,57.22488021850586,0.006505576428025961,0.7773206233978271
ld-4-beta-0.2,1630.8092041015625,65.51431274414062,0.13011153042316437,0.7917079925537109
ld-16-beta-0.05,1659.7781982421875,37.32457733154297,0.0009293680195696652,0.9054343104362488
ld-16-beta-0.1,1697.0528564453125,26.13624382019043,0.004646840039640665,0.9062524437904358
ld-16-beta-0.01,1894.1600341796875,51.51304244995117,0.0,0.901328980922699
ld-16-beta-0.02,1976.322265625,51.82155227661133,0.0,0.9047567844390869
ld-16-beta-0.2,2026.7470703125,25.1214656829834,0.0037174720782786608,0.9069885015487671
ld-6-beta-2,2073.1640625,31.655309677124023,0.14498141407966614,0.8566767573356628
ld-8-beta-2,2102.31689453125,48.97087478637695,0.20260223746299744,0.8749184012413025
ld-8-beta-1,2278.20068359375,45.68967056274414,0.1923791766166687,0.872808039188385
ld-4-beta-0.05,2488.7216796875,56.412261962890625,0.04739776998758316,0.7933521866798401
ld-6-beta-1,2562.95947265625,38.07892990112305,0.012081784196197987,0.8620803356170654
ld-8-beta-0.5,2636.239990234375,46.050750732421875,0.13104088604450226,0.8749366402626038
ld-6-beta-0.5,2988.278564453125,45.254825592041016,0.022304832935333252,0.8618718385696411
ld-8-beta-0.2,3051.242431640625,47.72335433959961,0.07899628579616547,0.8765366077423096
ld-4-beta-0.01,3168.267822265625,58.689918518066406,0.015799256041646004,0.7946372628211975
ld-6-beta-0.01,3271.3388671875,226.1415557861328,0.0,0.8520506024360657
ld-8-beta-0.02,3319.1162109375,43.672481536865234,0.0,0.8675374984741211
ld-4-beta-0.1,3549.14306640625,65.54254913330078,0.05018587410449982,0.7918895483016968
ld-8-beta-0.1,3560.279052734375,53.007389068603516,0.00929368007928133,0.8698368668556213
ld-6-beta-0.2,3579.151611328125,62.428489685058594,0.0009293680195696652,0.8641128540039062
ld-8-beta-0.05,3654.7255859375,62.18424987792969,0.0018587360391393304,0.8716145157814026
ld-6-beta-0.05,4056.93359375,145.78125,0.0,0.86129230260849
ld-6-beta-0.1,4160.17578125,83.13577270507812,0.0,0.8644496202468872
ld-8-beta-0.01,4587.50244140625,66.73406219482422,0.0009293680195696652,0.8700595498085022
ld-6-beta-0.02,6130.1181640625,179.65567016601562,0.0,0.8554939031600952
