model_name,gen/frds,gen/anatomically_valid,loss/dsc
ld-16-beta-1-gamma-5000,76.81623077392578,0.5418215394020081,0.824475109577179
ld-8-beta-0-gamma-100,90.1993408203125,0.7249070405960083,0.8698985576629639
ld-6-beta-0-gamma-100,105.08604431152344,0.6124535202980042,0.856349527835846
ld-6-beta-1-gamma-200,108.40177154541016,0.6858736276626587,0.8558345437049866
ld-6-beta-0-gamma-200,108.7995834350586,0.6022304892539978,0.8572192788124084
ld-8-beta-0-gamma-200,119.31918334960938,0.7295538783073425,0.8678985238075256
ld-8-beta-1-gamma-200,128.86302185058594,0.714684009552002,0.8675732612609863
ld-6-beta-1-gamma-100,129.45648193359375,0.5985130071640015,0.8537168502807617
ld-8-beta-1-gamma-2000,144.32005310058594,0.8252788186073303,0.8727485537528992
ld-4-beta-0-gamma-50,157.04864501953125,0.654275119304657,0.7893134951591492
ld-4-beta-0-gamma-200,157.3494415283203,0.7156133651733398,0.7898484468460083
ld-6-beta-1-gamma-5000,159.01968383789062,0.8252788186073303,0.8553949594497681
ld-4-beta-1-gamma-100,162.26145935058594,0.5947955250740051,0.7913827896118164
ld-8-beta-0-gamma-1000,163.24252319335938,0.9033457040786743,0.8774415254592896
ld-8-beta-0-gamma-2000,164.39764404296875,0.006505576428025961,0.6899576783180237
ld-8-beta-1-gamma-100,176.42694091796875,0.6171003580093384,0.8652811050415039
ld-8-beta-0-gamma-50,177.8695526123047,0.4990706443786621,0.8697758316993713
ld-4-beta-1-gamma-50,179.25961303710938,0.7657992839813232,0.7947880029678345
ld-8-beta-1-gamma-500,184.24757385253906,0.7369888424873352,0.8668848872184753
ld-4-beta-0-gamma-100,192.4049072265625,0.7750929594039917,0.7965726256370544
ld-6-beta-1-gamma-50,196.84837341308594,0.4665427505970001,0.854848325252533
ld-16-beta-0-gamma-100,205.3955535888672,0.3531598448753357,0.8960579633712769
ld-4-beta-1-gamma-20,218.16734313964844,0.6328996419906616,0.7827153205871582
