model_name,fid,test_recon_loss
ld-32-beta-0.01,7.519394397735596,7414.97119140625
ld-64-beta-200,0.28498944640159607,4950.12158203125
ld-8-beta-200,0.2513168156147003,4758.095703125
ld-4-beta-1,15.438715934753418,6145.31298828125
ld-64-beta-0.01,5.791645050048828,13343.8681640625
ld-8-beta-1,8.089061737060547,3527.825439453125
ld-64-beta-2,2.9559237957000732,2197.75927734375
ld-2-beta-200,0.5502772927284241,10059.052734375
ld-64-beta-5,2.085763692855835,2015.287841796875
ld-8-beta-0.01,20.245540618896484,3541.02587890625
ld-16-beta-50,0.8183862566947937,3098.208251953125
ld-2-beta-0.1,6.05721378326416,9810.7060546875
ld-64-beta-50,1.136968970298767,3302.26416015625
ld-4-beta-500,0.2049061805009842,7698.7841796875
ld-32-beta-10,1.4133740663528442,3229.756591796875
ld-32-beta-1,2.0687947273254395,4311.42431640625
ld-4-beta-100,0.31656503677368164,6468.66845703125
ld-8-beta-0.1,9.624207496643066,4955.82470703125
ld-4-beta-50,0.609023928642273,6427.94140625
ld-64-beta-0.1,5.913121700286865,12230.39453125
ld-16-beta-1,5.3637919425964355,4291.98046875
ld-32-beta-0.5,16.460124969482422,12256.994140625
ld-32-beta-0.2,10.527186393737793,11983.1142578125
ld-32-beta-20,1.2333996295928955,3360.5673828125
ld-4-beta-0.1,12.01573657989502,6044.75
ld-64-beta-20,1.5110454559326172,2674.515625
ld-4-beta-10,2.206751585006714,6611.09130859375
ld-8-beta-100,0.5088651776313782,4176.87841796875
ld-64-beta-100,0.562854528427124,4079.71044921875
ld-16-beta-20,1.0775210857391357,2907.7646484375
ld-2-beta-1,4.47471809387207,9597.1591796875
ld-2-beta-500,0.39136990904808044,10457.240234375
ld-64-beta-10,1.753575325012207,3266.67236328125
ld-4-beta-20,1.330387830734253,6643.349609375
ld-2-beta-100,0.6411944627761841,9807.8203125
ld-16-beta-10,1.4718774557113647,3673.6279296875
ld-64-beta-500,0.2647743821144104,7054.0537109375
ld-8-beta-500,0.19995854794979095,6423.82666015625
ld-32-beta-50,0.8983622789382935,3191.342041015625
ld-2-beta-0.01,29.204435348510742,12601.5107421875
ld-16-beta-0.2,8.77952766418457,3844.050537109375
ld-16-beta-0.5,7.357232570648193,4024.1923828125
ld-16-beta-0.05,11.166598320007324,2536.298095703125
ld-16-beta-0.02,10.242145538330078,2522.66943359375
ld-4-beta-0.01,9.753316879272461,6038.3681640625
ld-4-beta-200,0.29318767786026,6697.24755859375
ld-16-beta-1000,0.28125178813934326,9311.8271484375
ld-32-beta-0.02,36.46694564819336,12072.3642578125
ld-32-beta-0.05,18.376436233520508,11774.779296875
ld-16-beta-500,0.20495350658893585,6905.15380859375
ld-32-beta-200,0.27424129843711853,5040.20556640625
ld-64-beta-1000,0.32765763998031616,9825.890625
ld-32-beta-1000,0.32480108737945557,9495.6748046875
ld-64-beta-1,3.7932288646698,2162.21533203125
ld-4-beta-2,3.788590669631958,6207.2666015625
ld-16-beta-100,0.43601855635643005,3664.827880859375
ld-2-beta-50,0.7699324488639832,9648.22265625
ld-4-beta-5,6.251010894775391,6296.560546875
ld-64-beta-0.05,6.1174821853637695,12588.609375
ld-8-beta-5,5.180812358856201,3572.908935546875
ld-64-beta-0.02,5.365819931030273,4045.262939453125
ld-8-beta-2,6.102356433868408,3619.95458984375
ld-8-beta-0.05,7.161422252655029,4182.76708984375
ld-2-beta-0.2,4.879380702972412,9761.04296875
ld-8-beta-0.02,7.690974235534668,3947.973876953125
ld-2-beta-0.5,3.5082454681396484,9713.3720703125
ld-8-beta-10,3.341193437576294,3643.321533203125
ld-32-beta-0.1,11.055173873901367,12052.630859375
ld-16-beta-5,2.2200775146484375,4248.3388671875
ld-16-beta-2,3.605182409286499,4246.51904296875
ld-32-beta-5,1.5706483125686646,3838.665771484375
ld-8-beta-1000,0.19896012544631958,8800.9794921875
ld-32-beta-2,2.2966275215148926,4146.7314453125
ld-8-beta-0.5,9.97354793548584,3518.49609375
ld-64-beta-0.5,5.6402363777160645,12362.2841796875
ld-8-beta-20,3.03275990486145,3700.79638671875
ld-8-beta-0.2,8.188031196594238,3613.34326171875
ld-64-beta-0.2,5.704005718231201,12273.580078125
ld-32-beta-100,0.7318403124809265,4112.43505859375
ld-2-beta-5,4.990229606628418,9707.20703125
ld-2-beta-2,4.553587913513184,9767.890625
ld-2-beta-1000,0.37573689222335815,11163.984375
ld-4-beta-0.5,9.299778938293457,6121.15966796875
ld-4-beta-0.2,10.418097496032715,6017.74462890625
ld-16-beta-200,0.2836340069770813,4629.84716796875
ld-2-beta-0.02,4.184014320373535,9647.3486328125
ld-2-beta-0.05,3.641371250152588,9537.806640625
ld-8-beta-50,0.763140857219696,3824.548828125
ld-32-beta-500,0.27287057042121887,6936.28173828125
ld-16-beta-0.01,13.719110488891602,2676.70849609375
ld-16-beta-0.1,8.337252616882324,2492.4443359375
ld-2-beta-10,2.687309741973877,9472.541015625
ld-4-beta-1000,0.2662365138530731,9068.509765625
ld-4-beta-0.05,10.638286590576172,5889.4326171875
ld-2-beta-20,1.0261882543563843,9511.0234375
ld-4-beta-0.02,10.637094497680664,6034.33642578125
