model_name,frds,frds-elastic,dice_score
ld-8-beta-1-gamma-5,911.5684204101562,805.9783325195312,0.8694053888320923
ld-16-beta-0-gamma-5,931.0186767578125,777.5352783203125,0.8976463675498962
ld-8-beta-0-gamma-5,970.5835571289062,879.3623046875,0.8728922009468079
ld-6-beta-1-gamma-5,996.053466796875,725.9210205078125,0.858925461769104
ld-6-beta-0-gamma-5,1018.1889038085938,753.8783569335938,0.8569232225418091
ld-16-beta-1-gamma-2,1037.3089599609375,882.2109985351562,0.894234836101532
ld-16-beta-0-gamma-2,1115.7974853515625,974.2406616210938,0.897995114326477
ld-16-beta-1-gamma-1,1177.2330322265625,998.9679565429688,0.8983251452445984
ld-16-beta-0-gamma-1,1213.4927978515625,1095.1116943359375,0.9026045799255371
ld-4-beta-0-gamma-2,1214.6964111328125,1305.251708984375,0.7654068470001221
ld-8-beta-1-gamma-2,1479.5308837890625,1370.6793212890625,0.873136043548584
ld-6-beta-1-gamma-2,1684.6021728515625,1155.511474609375,0.8576393127441406
ld-8-beta-0-gamma-2,1795.9598388671875,1627.8974609375,0.8740663528442383
ld-8-beta-1-gamma-1,1820.255615234375,1649.637939453125,0.8757330775260925
ld-6-beta-0-gamma-2,1881.1346435546875,1275.2119140625,0.8588799238204956
ld-6-beta-1-gamma-1,2141.86865234375,1428.1796875,0.8588642477989197
ld-8-beta-0-gamma-1,2415.54150390625,2141.890625,0.8743368983268738
ld-6-beta-0-gamma-1,2753.038330078125,1877.38525390625,0.859705924987793
