model_name,dsc/test,dsc/test_LV,dsc/test_RV,dsc/test_MYO,gen/anatomically_valid
shape-prior-seed-1971,0.91656661,0.945146322,0.910871804,0.893681943,0.882195532
shape-prior-seed-1970,0.915711641,0.945633829,0.906624675,0.894876659,0.90576601
shape-prior-seed-1973,0.914999068,0.943366766,0.907791376,0.893840194,0.907642722
shape-prior-seed-1972,0.91388303,0.94326967,0.906046689,0.892332375,0.907915413
shape-prior-seed-1974,0.912970901,0.944801569,0.903706133,0.89040482,0.878943026
avg,0.91482625,,,,0.896492541
