model_name,dsc/test,dsc/test_RV,dsc/test_MYO,dsc/test_LV,gen/anatomically_valid
baseline-seed-1970,0.9141536951065063,0.9049301743507385,0.8920707702636719,0.9454595446586609,0.7790670990943909
baseline-seed-1971,0.9133835434913635,0.9076212048530579,0.894395112991333,0.9381342530250549,0.8133066296577454
baseline-seed-1972,0.915181577205658,0.9131982326507568,0.8905324339866638,0.941813588142395,0.8748970627784729
baseline-seed-1973,0.9154205918312073,0.9078154563903809,0.8956479430198669,0.942798376083374,0.8321416974067688
baseline-seed-1974,0.9110233187675476,0.9049147963523865,0.8913370370864868,0.936818540096283,0.8371696472167969
shape-prior-seed-1970,0.9155728816986084,0.9105738997459412,0.8946002721786499,0.9415441155433655,0.8821941614151001
shape-prior-seed-1971,0.9148628115653992,0.9130828976631165,0.8926704525947571,0.9388353824615479,0.8859489560127258
shape-prior-seed-1972,0.9144376516342163,0.9073464870452881,0.8897850513458252,0.9461816549301147,0.8608698844909668
shape-prior-seed-1973,0.9165246486663818,0.9101355075836182,0.8964323997497559,0.9430074095726013,0.8998849987983704
shape-prior-seed-1974,0.9129559993743896,0.9114629626274109,0.8878862857818604,0.93951815366745,0.8649008274078369
