dice_score,anatomical_validity
0.9675690531730652,1.0
0.9594882130622864,0.9
0.9546361565589905,0.875
0.9009264707565308,0.875
0.9594857096672058,1.0
0.9441245198249817,0.6666666666666666
0.9491142630577087,1.0
0.7328194379806519,0.6666666666666666
0.9532672762870789,0.8
0.8341902494430542,1.0
0.9497195482254028,1.0
0.947268009185791,1.0
0.9539421796798706,1.0
0.9365209937095642,0.7777777777777778
0.9411603212356567,1.0
0.8383968472480774,1.0
0.9691567420959473,0.875
0.9469293355941772,1.0
0.9435045719146729,1.0
0.8729459643363953,1.0
0.9266960024833679,1.0
0.8979143500328064,1.0
0.945094883441925,0.9
0.9277774691581726,1.0
0.9719691872596741,0.9
0.963858962059021,1.0
0.9313730597496033,0.9090909090909091
0.7695552110671997,0.9090909090909091
0.9529904127120972,0.9
0.9256531596183777,0.8
0.9496183395385742,0.9
0.9089376926422119,0.9
0.9711320996284485,1.0
0.9347546696662903,0.7
0.9503282308578491,0.8888888888888888
0.9442678689956665,0.7777777777777778
0.9622148871421814,1.0
0.9260384440422058,1.0
0.9528357982635498,1.0
0.9338172674179077,1.0
0.9620704650878906,0.75
0.9259170889854431,1.0
0.9624401926994324,0.7777777777777778
0.9390698671340942,1.0
0.9576724767684937,0.875
0.8112924695014954,1.0
0.9497761726379395,0.9523809523809523
0.861117422580719,0.8571428571428571
0.9529098868370056,0.9411764705882353
0.9215383529663086,0.8235294117647058
0.9329578280448914,1.0
0.8513362407684326,1.0
0.954672634601593,0.9473684210526315
0.9374639987945557,1.0
0.9493227005004883,1.0
0.8670453429222107,0.8888888888888888
0.959291934967041,1.0
0.9396739602088928,1.0
0.9599283337593079,0.9
0.9262201189994812,0.9
0.9609788656234741,1.0
0.9645293951034546,0.8
0.9642750024795532,1.0
0.9613907933235168,0.9
0.9584707617759705,1.0
0.9602640867233276,1.0
0.951387882232666,1.0
0.8195983171463013,1.0
0.9564424157142639,0.9
0.9530481696128845,1.0
0.9560490846633911,0.7
0.9470662474632263,0.7
0.9615799188613892,1.0
0.9262425899505615,0.8888888888888888
0.939652144908905,1.0
0.6847217082977295,1.0
0.9455903768539429,0.9375
0.9267197847366333,0.875
0.9204108715057373,1.0
0.8855244517326355,1.0
0.9601197838783264,0.9
0.9193712472915649,1.0
0.9385509490966797,1.0
0.7749999761581421,0.875
0.9671676754951477,1.0
0.962781548500061,0.8
0.9553857445716858,1.0
0.8474161028862,1.0
0.9311457872390747,0.9
0.9241144061088562,0.9
0.9552460312843323,0.8888888888888888
0.8574274778366089,1.0
0.9541070461273193,1.0
0.8809977173805237,1.0
0.9661152958869934,0.75
0.9474664926528931,0.875
0.9703825116157532,0.9
0.9574107527732849,0.9
0.9633961319923401,1.0
0.9051486849784851,1.0
