dice_score,anatomical_validity
0.9737736582756042,1.0
0.9739353060722351,1.0
0.9624912142753601,1.0
0.923757791519165,0.875
0.9634889364242554,1.0
0.9477797746658325,1.0
0.9615162014961243,1.0
0.8843495845794678,1.0
0.9157202839851379,1.0
0.8634932041168213,0.8
0.9681413769721985,1.0
0.9596572518348694,1.0
0.9609434604644775,1.0
0.9511042237281799,1.0
0.9545025825500488,1.0
0.8956485986709595,1.0
0.9747865796089172,1.0
0.9532579183578491,1.0
0.9404443502426147,1.0
0.9134615659713745,1.0
0.9438210725784302,0.8333333333333334
0.9208795428276062,1.0
0.9499959349632263,1.0
0.9404138326644897,1.0
0.9724721908569336,1.0
0.9667234420776367,1.0
0.935397744178772,1.0
0.7946581840515137,1.0
0.9623281955718994,1.0
0.9478825330734253,0.9
0.9593796730041504,1.0
0.9142616391181946,1.0
0.9767529964447021,1.0
0.969298243522644,1.0
0.9612317681312561,1.0
0.9534146785736084,0.8888888888888888
0.9657602906227112,1.0
0.9461366534233093,0.9411764705882353
0.9602132439613342,1.0
0.9547356367111206,1.0
0.9626401662826538,1.0
0.9356791973114014,1.0
0.9717172384262085,1.0
0.9396855235099792,1.0
0.8916060924530029,1.0
0.8526681065559387,1.0
0.9553287625312805,1.0
0.9015737771987915,0.8571428571428571
0.9617056846618652,1.0
0.8948988318443298,0.9411764705882353
0.9368708729743958,0.9375
0.8390079736709595,0.875
0.961123526096344,1.0
0.9502853155136108,1.0
0.9534163475036621,1.0
0.8464113473892212,1.0
0.9649683833122253,0.8823529411764706
0.9317823648452759,0.9411764705882353
0.9684286713600159,1.0
0.943549394607544,1.0
0.9737048149108887,1.0
0.9700142741203308,1.0
0.9688087105751038,1.0
0.9714060425758362,1.0
0.9506083130836487,1.0
0.9595375657081604,1.0
0.9606748223304749,1.0
0.8171979784965515,1.0
0.9691987037658691,1.0
0.9612970948219299,0.9
0.9646567106246948,1.0
0.9550842046737671,1.0
0.9721165299415588,0.8888888888888888
0.9389756321907043,1.0
0.945678174495697,1.0
0.7583202719688416,0.8888888888888888
0.9605118036270142,1.0
0.9418473839759827,1.0
0.9202893972396851,1.0
0.8739453554153442,0.95
0.9666159749031067,1.0
0.8611068725585938,0.9
0.9566814303398132,1.0
0.90467369556427,1.0
0.9673645496368408,1.0
0.9638513922691345,1.0
0.9618638753890991,1.0
0.9090064167976379,1.0
0.9402768611907959,1.0
0.9520813822746277,1.0
0.967796266078949,0.8888888888888888
0.8799735307693481,1.0
0.9467806220054626,1.0
0.9166615009307861,1.0
0.9741729497909546,1.0
0.948563277721405,1.0
0.9768616557121277,0.9
0.9675489664077759,1.0
0.9656474590301514,1.0
0.9231706261634827,1.0
