dice_score,anatomical_validity
0.9657645225524902,0.9
0.963111162185669,0.9
0.950597882270813,0.875
0.9070595502853394,1.0
0.9589246511459351,1.0
0.9419230222702026,0.7777777777777778
0.950029194355011,0.7777777777777778
0.5543275475502014,0.5555555555555556
0.9060937166213989,1.0
0.8414363861083984,0.9
0.9534478783607483,1.0
0.9401853084564209,1.0
0.9530243277549744,1.0
0.9333253502845764,0.7777777777777778
0.9413167834281921,1.0
0.8652044534683228,1.0
0.9675143361091614,1.0
0.9433130025863647,1.0
0.9385462403297424,1.0
0.8773249983787537,1.0
0.9017767310142517,1.0
0.8959864377975464,1.0
0.9388768672943115,0.9
0.9223484396934509,0.9
0.9682486653327942,0.8
0.962505042552948,0.9
0.9351134896278381,0.9090909090909091
0.7375187277793884,0.9090909090909091
0.9594855904579163,0.9
0.9454088807106018,1.0
0.9507049322128296,0.9
0.8945692777633667,0.9
0.9698551297187805,0.8
0.9580762982368469,0.8
0.9575620293617249,0.7777777777777778
0.9457299709320068,0.6666666666666666
0.9568657279014587,1.0
0.9339765310287476,1.0
0.9495004415512085,1.0
0.9324941039085388,0.8888888888888888
0.9579583406448364,0.75
0.9085996150970459,0.75
0.9641954898834229,1.0
0.9353430867195129,1.0
0.890214204788208,1.0
0.8404735326766968,0.75
0.9435728788375854,1.0
0.8987937569618225,0.8095238095238095
0.9482054114341736,1.0
0.9073784351348877,0.8823529411764706
0.8997076153755188,0.875
0.8856621384620667,0.875
0.9549121260643005,0.8947368421052632
0.9364059567451477,1.0
0.9451520442962646,0.8888888888888888
0.8564562797546387,1.0
0.9548121690750122,1.0
0.9098036885261536,1.0
0.9620258808135986,0.8
0.9212605357170105,1.0
0.9610371589660645,0.8
0.9611427783966064,0.6
0.9582657814025879,1.0
0.9576722979545593,1.0
0.9536303281784058,0.9
0.9610348343849182,1.0
0.8963780403137207,1.0
0.7871875762939453,1.0
0.9604448080062866,1.0
0.9561814069747925,1.0
0.9586355090141296,0.7
0.9483688473701477,0.5
0.9247979521751404,1.0
0.9356644153594971,1.0
0.9326363801956177,1.0
0.7412146329879761,1.0
0.9499814510345459,0.9375
0.9315573573112488,1.0
0.9105975031852722,0.95
0.889549195766449,1.0
0.9611073732376099,0.9
0.8861523270606995,0.8
0.932673454284668,1.0
0.772323489189148,0.875
0.9629391431808472,1.0
0.9573090672492981,0.7
0.9537116289138794,0.875
0.7808930277824402,1.0
0.9457054138183594,1.0
0.9375150203704834,0.9
0.9531863331794739,0.7777777777777778
0.720321536064148,0.8888888888888888
0.9434937834739685,0.9333333333333333
0.877741277217865,1.0
0.9635595083236694,1.0
0.939339280128479,1.0
0.9642550945281982,0.9
0.8633886575698853,0.8
0.960828959941864,1.0
0.9068837761878967,1.0
