anatomical_validity_1970,anatomical_validity_1971,anatomical_validity_1972,anatomical_validity_1973,anatomical_validity_1974,dice_score_1970,dice_score_1971,dice_score_1972,dice_score_1973,dice_score_1974,mean_dice_score,mean_anatomical_validity
1.0,0.9,1.0,1.0,0.9,0.9729573130607604,0.9713640809059144,0.9730643630027772,0.9731869101524352,0.9727461338043212,0.9726637601852417,0.96
1.0,0.8,1.0,0.8,0.9,0.9711111783981324,0.9723575115203856,0.9700651168823242,0.9712325930595398,0.9736886024475098,0.9716910004615784,0.9
0.875,1.0,0.75,1.0,1.0,0.9647617936134338,0.9657597541809082,0.968874454498291,0.969204306602478,0.9674913883209229,0.9672183394432068,0.925
1.0,0.75,0.875,1.0,0.875,0.937850832939148,0.9048061966896056,0.9258936643600464,0.9319433569908142,0.9232640862464904,0.924751627445221,0.9
0.6666666666666666,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.9620099067687988,0.9660276770591736,0.9682933688163756,0.969602108001709,0.9665966033935548,0.9665059328079224,0.8222222222222222
0.5555555555555556,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.8888888888888888,0.930185854434967,0.9425339698791504,0.957844078540802,0.94962477684021,0.9498863220214844,0.9460150003433228,0.6222222222222222
0.6666666666666666,0.8888888888888888,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.9579896330833436,0.9597684741020204,0.9623586535453796,0.9637272953987122,0.9599667191505432,0.9607621550559997,0.7333333333333332
1.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8876911997795105,0.8435988426208496,0.8496949672698975,0.8760954737663269,0.7166497111320496,0.8347460389137268,0.888888888888889
0.8,0.9,0.9,1.0,0.9,0.9306779503822328,0.947359561920166,0.9353622198104858,0.91960471868515,0.9198366403579712,0.9305682182312012,0.9
0.6,0.6,0.6,0.6,0.6,0.8581415414810181,0.8649612069129944,0.8453736901283264,0.8597302436828613,0.8609909415245056,0.8578395247459412,0.6
0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.932174801826477,0.9221317768096924,0.9634816646575928,0.970672369003296,0.964566707611084,0.9506054639816284,0.7555555555555555
0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.9342003464698792,0.93707937002182,0.9541869759559632,0.9602596163749696,0.960892617702484,0.9493237853050231,0.6222222222222222
0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.955069899559021,0.9583521485328674,0.9223119020462036,0.9329289197921752,0.9655811786651612,0.9468488097190857,0.7555555555555555
1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.9587156176567078,0.9549943804740906,0.9555812478065492,0.9593932032585144,0.9582863450050354,0.9573941588401794,0.9333333333333332
0.9,1.0,1.0,0.8,1.0,0.9591352343559264,0.9647032618522644,0.9595836400985718,0.9624100923538208,0.9632608294487,0.9618186116218567,0.9400000000000001
0.7,0.7,0.4,0.8,0.8,0.8615316152572632,0.8409218788146973,0.85506671667099,0.8352612853050232,0.8923661708831787,0.8570295333862304,0.6799999999999999
1.0,0.875,1.0,1.0,1.0,0.9766139388084412,0.9763608574867249,0.9785376787185668,0.977342128753662,0.9765620827674866,0.9770833373069763,0.975
1.0,0.875,0.875,0.875,1.0,0.9620625972747804,0.9635077118873596,0.9675821661949158,0.9652516841888428,0.9651125073432922,0.9647033333778381,0.925
0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.9477539658546448,0.9371572732925416,0.944036066532135,0.9397523999214172,0.9480060338974,0.9433411478996276,0.8666666666666666
1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,0.8887442350387573,0.8775225877761841,0.9056328535079956,0.9112591743469238,0.91811203956604,0.9002541780471802,0.9333333333333332
0.6666666666666666,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666,0.9066032767295836,0.922160267829895,0.9571027755737304,0.9419795274734496,0.9275793433189392,0.9310850381851197,0.7666666666666666
0.8333333333333334,1.0,1.0,1.0,0.6666666666666666,0.9242410063743592,0.9188219904899596,0.9295402765274048,0.9360349178314208,0.92662513256073,0.927052664756775,0.9
0.9,0.7,1.0,0.9,0.8,0.9530282020568848,0.9558550715446472,0.9627227187156676,0.964102566242218,0.9605595469474792,0.9592536211013794,0.86
1.0,0.9,0.9,0.9,0.9,0.9275464415550232,0.9435780644416808,0.9460808634757996,0.9435452222824096,0.9442437291145324,0.9409988641738891,0.9199999999999999
1.0,1.0,1.0,1.0,0.9,0.9769232273101808,0.975234866142273,0.9789620637893676,0.9790129065513612,0.9778738021850586,0.9776013731956482,0.9800000000000001
1.0,0.9,0.9,1.0,0.9,0.9663997292518616,0.9633099436759948,0.9720734357833862,0.9677371978759766,0.9678511619567872,0.9674742937088012,0.9400000000000001
1.0,0.9090909090909092,0.6363636363636364,0.8181818181818182,0.9090909090909092,0.9348964095115662,0.9428910613059998,0.9406583905220032,0.9451358914375304,0.94271320104599,0.9412589907646179,0.8545454545454547
0.8181818181818182,0.7272727272727273,0.4545454545454545,0.7272727272727273,0.5454545454545454,0.8970617651939392,0.8570830225944519,0.7620483636856079,0.8290672898292542,0.8031018972396851,0.8296724677085876,0.6545454545454545
0.7,0.9,1.0,0.8,0.9,0.9653412699699402,0.9607633352279664,0.9713200330734252,0.9708864092826844,0.97242933511734,0.9681480765342713,0.8600000000000001
0.7,0.5,0.9,0.8,0.7,0.9478651285171508,0.8961552381515503,0.9125044345855712,0.9485936760902404,0.9575709700584412,0.9325378894805908,0.7200000000000001
0.9,0.9,0.9,0.9,0.8,0.9559715986251832,0.947868287563324,0.9670848846435548,0.9668431282043456,0.9678260684013368,0.9611187934875488,0.8800000000000001
0.9,0.8,0.8,0.8,0.8,0.8986287713050842,0.9024624824523926,0.9313560724258424,0.9252744913101196,0.91270250082016,0.9140848636627197,0.82
0.8,0.9,1.0,1.0,0.9,0.9791832566261292,0.9769995212554932,0.9769055843353271,0.9784832000732422,0.978453814983368,0.9780050754547119,0.9200000000000002
0.8,0.9,0.8,0.9,0.9,0.9619052410125732,0.9343555569648744,0.9627012610435486,0.960834264755249,0.9676929712295532,0.9574978590011597,0.86
0.8888888888888888,0.7777777777777778,0.8888888888888888,1.0,1.0,0.9572768211364746,0.956434726715088,0.9627230167388916,0.9558247923851012,0.9627188444137572,0.9589956402778625,0.9111111111111111
0.7777777777777778,0.5555555555555556,0.8888888888888888,1.0,0.8888888888888888,0.945693850517273,0.9433539509773254,0.957763135433197,0.953947901725769,0.9548213481903076,0.9511160373687744,0.8222222222222222
0.9411764705882352,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.9719148874282836,0.9724093079566956,0.973073959350586,0.971480429172516,0.9727254509925842,0.972320806980133,0.8352941176470587
0.8823529411764706,0.8823529411764706,0.9411764705882352,0.8235294117647058,0.9411764705882352,0.935949683189392,0.9424685835838318,0.94911527633667,0.947339117527008,0.955908179283142,0.9461561679840088,0.8941176470588236
0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888,0.9659786224365234,0.960455358028412,0.9687530398368835,0.9693416953086852,0.9654507637023926,0.9659958958625794,0.9333333333333332
0.6666666666666666,0.6666666666666666,0.8888888888888888,1.0,0.7777777777777778,0.9508394002914428,0.946491837501526,0.9636632204055786,0.9605234265327454,0.9617971777915956,0.9566630125045776,0.8
0.875,0.875,0.875,1.0,1.0,0.972001612186432,0.9684262871742249,0.970977246761322,0.971884310245514,0.9714534878730774,0.970948588848114,0.925
1.0,0.875,0.75,0.875,0.75,0.938846230506897,0.9302549958229064,0.9422459006309508,0.8960207104682922,0.8934128284454346,0.9201561331748962,0.85
0.5555555555555556,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.9678704142570496,0.9620068073272704,0.972155213356018,0.9652606248855592,0.970301389694214,0.9675188899040222,0.7777777777777778
0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.9468106031417848,0.9018192887306212,0.9376458525657654,0.9330175518989564,0.9414228200912476,0.932143223285675,0.8222222222222222
0.875,0.875,0.625,0.625,0.875,0.9206247925758362,0.936512053012848,0.9443137049674988,0.9096011519432068,0.8986484408378601,0.92194002866745,0.775
1.0,0.75,1.0,0.875,1.0,0.861710786819458,0.8776541948318481,0.8202204704284668,0.8382502794265747,0.8661707043647766,0.8528012871742249,0.925
0.9047619047619048,0.9523809523809524,0.9523809523809524,1.0,0.9523809523809524,0.967668354511261,0.9650235176086426,0.966730535030365,0.9728693962097168,0.9680920243263244,0.968076765537262,0.9523809523809523
0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7619047619047619,0.9047619047619048,0.8765765428543091,0.836369514465332,0.9004368782043457,0.8863807320594788,0.9195868968963624,0.8838701128959656,0.8476190476190476
0.8823529411764706,0.7647058823529411,1.0,0.8823529411764706,0.9411764705882352,0.9703041315078736,0.9708101749420166,0.9714195728302002,0.9725399613380432,0.9700331687927246,0.9710214018821717,0.8941176470588236
0.8823529411764706,0.8235294117647058,0.8823529411764706,0.9411764705882352,0.8823529411764706,0.9503650665283204,0.9396894574165344,0.9128510355949402,0.9422553181648254,0.9016014337539672,0.9293524622917175,0.8823529411764705
0.8125,0.8125,0.5625,0.8125,0.6875,0.967673122882843,0.9395778775215148,0.9621773958206176,0.969832956790924,0.9507770538330078,0.9580076813697815,0.7375
