dice_score,anatomical_validity
0.9662158489227295,0.9
0.9529973268508911,0.8
0.943400502204895,1.0
0.8155483603477478,0.75
0.9493482112884521,0.8888888888888888
0.930316150188446,0.5555555555555556
0.9507865905761719,0.8888888888888888
0.5522410869598389,0.6666666666666666
0.9091611504554749,0.9
0.7251208424568176,0.9
0.9449689984321594,1.0
0.9511231184005737,0.8888888888888888
0.9493218064308167,0.7777777777777778
0.8935043811798096,1.0
0.9439663887023926,0.9
0.7206101417541504,0.8
0.9688737988471985,1.0
0.9408485293388367,0.875
0.9468048810958862,1.0
0.857343316078186,1.0
0.8996210098266602,0.8333333333333334
0.9035046696662903,1.0
0.9385350346565247,1.0
0.9058982133865356,0.9
0.9691230654716492,0.9
0.9605761170387268,0.9
0.9344459176063538,1.0
0.7806475758552551,0.8181818181818182
0.9552608132362366,1.0
0.938227653503418,0.9
0.9429643750190735,1.0
0.9012670516967773,1.0
0.9709236025810242,1.0
0.9592829346656799,1.0
0.9541811347007751,0.7777777777777778
0.9425820112228394,0.8888888888888888
0.9556718468666077,0.9411764705882353
0.9240092039108276,0.8823529411764706
0.938200831413269,0.8888888888888888
0.8957273960113525,0.5555555555555556
0.9588187336921692,1.0
0.8490383625030518,0.75
0.9637092351913452,1.0
0.8938896656036377,1.0
0.8987008333206177,0.875
0.7683324217796326,0.875
0.9367788434028625,0.9047619047619048
0.8220729827880859,0.8571428571428571
0.9444273710250854,1.0
0.8910304307937622,0.8823529411764706
0.9153456687927246,1.0
0.8332412242889404,0.6875
0.9461636543273926,1.0
0.9121974110603333,0.8947368421052632
0.9432161450386047,1.0
0.869924783706665,0.8888888888888888
0.9547334909439087,0.9411764705882353
0.8922513127326965,0.8823529411764706
0.9554490447044373,0.6
0.8841016888618469,0.8
0.9620035886764526,0.9
0.9603462219238281,0.6
0.9559696316719055,1.0
0.9535070061683655,1.0
0.9580919146537781,1.0
0.9556607604026794,0.9
0.8986412882804871,0.9090909090909091
0.7769705057144165,0.8181818181818182
0.9586439728736877,0.8
0.9554965496063232,0.9
0.9449891448020935,0.6
0.9278092384338379,0.7
0.9436385035514832,0.8888888888888888
0.9275696277618408,0.7777777777777778
0.9185939431190491,0.8888888888888888
0.7724319696426392,0.8888888888888888
0.9531411528587341,1.0
0.8972292542457581,0.8125
0.919881284236908,0.9
0.8892078399658203,0.85
0.9396660327911377,0.8
0.8834648132324219,0.9
0.9353543519973755,1.0
0.6330905556678772,1.0
0.9609485268592834,1.0
0.9632586240768433,0.8
0.9490178227424622,0.875
0.8148210644721985,0.875
0.9162660837173462,0.9
0.9182648062705994,0.8
0.9471567869186401,0.8888888888888888
0.8305893540382385,1.0
0.9453890323638916,1.0
0.8374391198158264,0.8666666666666667
0.9480220675468445,0.875
0.9313758015632629,1.0
0.966553270816803,1.0
0.9491382837295532,0.9
0.9599776864051819,0.875
0.873938798904419,1.0
