dice_score,anatomical_validity
0.9688510298728943,1.0
0.9644781947135925,0.9
0.9459276795387268,1.0
0.8829748034477234,0.875
0.9592260718345642,1.0
0.9409615993499756,0.6666666666666666
0.950534999370575,1.0
0.5715560913085938,0.8888888888888888
0.9088296890258789,1.0
0.7411724925041199,0.8
0.9432336091995239,1.0
0.9353818893432617,1.0
0.9533472061157227,0.7777777777777778
0.9377633333206177,1.0
0.9419671297073364,1.0
0.8073474764823914,0.9
0.9663035869598389,1.0
0.9248409867286682,0.875
0.9442228674888611,1.0
0.8887360692024231,1.0
0.9095650911331177,1.0
0.8904806971549988,0.6666666666666666
0.9498744606971741,0.9
0.9293484091758728,0.9
0.9681512713432312,0.9
0.960148274898529,0.9
0.9197518229484558,0.9090909090909091
0.7739472389221191,1.0
0.9524585604667664,1.0
0.9427862763404846,0.9
0.9477111101150513,1.0
0.9025301337242126,0.8
0.9703879952430725,0.9
0.923642098903656,0.9
0.9593605399131775,0.8888888888888888
0.9390882849693298,0.7777777777777778
0.956801176071167,0.9411764705882353
0.9154217839241028,1.0
0.9492432475090027,0.7777777777777778
0.9252176284790039,0.7777777777777778
0.9550803303718567,0.875
0.8218980431556702,0.875
0.958921492099762,0.7777777777777778
0.925237238407135,1.0
0.8975327014923096,1.0
0.8018081188201904,1.0
0.9459108710289001,1.0
0.8568832874298096,1.0
0.9521335363388062,1.0
0.87832111120224,0.8235294117647058
0.9252963662147522,0.875
0.898028552532196,0.9375
0.9551482200622559,0.9473684210526315
0.9178876280784607,0.9473684210526315
0.9236555695533752,1.0
0.835934042930603,0.7777777777777778
0.9539426565170288,0.8823529411764706
0.9099866151809692,0.9411764705882353
0.9573686122894287,1.0
0.9384010434150696,0.9
0.9600427746772766,1.0
0.9616897702217102,0.9
0.953510046005249,0.9
0.9509919285774231,0.9
0.9581625461578369,1.0
0.9592625498771667,0.9
0.901116669178009,1.0
0.8963723182678223,0.9090909090909091
0.9557932019233704,1.0
0.9517267346382141,1.0
0.9610129594802856,1.0
0.909949541091919,0.5
0.9589450359344482,0.8888888888888888
0.9207750558853149,1.0
0.9245019555091858,1.0
0.7057880759239197,1.0
0.9236746430397034,1.0
0.9207868576049805,1.0
0.9123782515525818,1.0
0.8628924489021301,1.0
0.9602364301681519,0.8
0.8973360061645508,1.0
0.9420452117919922,1.0
0.8047181963920593,1.0
0.9627640247344971,1.0
0.9574281573295593,0.8
0.9511122703552246,0.875
0.8229681253433228,1.0
0.918476939201355,0.8
0.9191746711730957,0.8
0.9525023698806763,0.7777777777777778
0.8450554013252258,0.7777777777777778
0.9345491528511047,1.0
0.8817375302314758,0.8
0.9598470330238342,1.0
0.9427802562713623,1.0
0.964586079120636,0.9
0.9502235054969788,0.8
0.9588704705238342,1.0
0.9058899283409119,1.0
